K_SOL	Potasio Soluble				
NA_SOL	Sodio Soluble				
SULFUROS_SOL	Sulfuros Solubles				
BA_SOL	Bario Soluble				
SB_SOL	Antimonio Soluble				
AG_TOT	Plata Total				
S	Azufre				
AMPA	Acido Aminometil Fosfonico				
V_TOT	Vanadio Total				
SE	Selenio				
SSV	Sólidos Suspendidos Volátiles				
C.MESÓFILOS AEROBIOS	Cuenta total en placa				
DUR_Ca	Dureza Calcio				
DUR_Mg	Dureza Magnesio				
NH4	Amonio				
ST	Sólidos Totales				
HIDROCAR_F_LIG_SED	Hidrocarburos Fracción Ligera (Sedimento)				
HIDROCAR_F_MED_SED	Hidrocarburos Fracción Media (Sedimento)				
HIDROCAR_F_PES_SED	Hidrocarburos Fracción Pesada (Sedimento)				
AS_TOT_SED	Arsénico Total (Sedimento)				
TALIO_SED	Talio (Sedimento)				
PB_TOT_SED	Plomo Total (Sedimento)				
AG_TOT_SED	Plata (Sedimento)				
CD_TOT_SED	Cadmio Total (Sedimento)				
BE_TOT_SED	Berilio Total (Sedimento)				
NI_TOT_SED	Niquel Total (Sedimento)				
SE_TOT_SED	Selenio (Sedimento)				
HG_TOT_SED	Mercurio Total (Sedimento)				
CR_HEX_SED	Cromo Hexavalente (Sedimento)				
BA_TOT_SED	Bario Total (Sedimento)				
V_SED	Vanadio Total (Sedimento)				
DIBR_MET	Dibromometano				
DIBROMOETILENO	Dibromoetileno				
S_TOT	Azufre Total (a partir de SO4)				
