actprincipal	actsemarnat	anio	calle	claveambiental	codigopostal	colonia	descscian	entrec1	entrec2	establecimiento	estado	latitudnorte	localidad	longitudoeste	municipio	nra	numexterior	numinterior	parqueindustrial	scian	sector	subsector	utmx	utmy
FABRICACIÓN DE CEMENTO	Atributo no considerado en este año	2022	Avenida  INDUSTRIAL	73	55660	Colonia CENTRO	Fabricación de cemento y productos a base de cemento en plantas integradas	Atributo no considerado en este año	Atributo no considerado en este año	HOLCIM MÉXICO OPERACIONES, S.A. DE C.V.,	México	"19°58'23"""	APAXCO DE OCAMPO	"99°10'52"""	Apaxco	CAP731501011	NA 	 		327310	Cemento y Cal	Produccion de cemento	481029.1656	2208510.7284
FABRICACIÓN DE CEMENTO	Atributo no considerado en este año	2022	Carretera ESTATAL 20 HILLO-MAZATAN- SAHUARIPA	73	83309	Fracción SIN COLONIA	Fabricación de cemento y productos a base de cemento en plantas integradas	Atributo no considerado en este año	Atributo no considerado en este año	HOLCIM MEXICO OPERACIONES, S.A. DE C.V., PLANTA HERMOSILLO	Sonora	"29°2'40"""	HERMOSILLO	"110°42'38"""	Hermosillo	CAP732603021	KM 23 	 		327310	Cemento y Cal	Produccion de cemento	528175.1405	3212952.4813
Fabricación y venta de cemento	Atributo no considerado en este año	2022	Carretera  Villahermosa-Escárcega km 68.5	73	86700	Ejido Ejido Buenavista	Fabricación de cemento y productos a base de cemento en plantas integradas	Atributo no considerado en este año	Atributo no considerado en este año	HOLCIM MÉXICO OPERACIONES S.A. DE C.V.,HOLCIM MÉXICO OPERACIONES S.A DE C.V	Tabasco	"17°39'0"""	MACUSPANA	"92°26'35"""	Macuspana	CAP732701211	S/N 	 		327310	Cemento y Cal	Produccion de cemento	559061.0876	1951556.6588
Fabricacion de cemento	Atributo no considerado en este año	2022	Boulevard Blvd Fernando Gutierrez Barrios	73	94450		Fabricación de cemento y productos a base de cemento en plantas integradas	Atributo no considerado en este año	Atributo no considerado en este año	HOLCIM MÉXICO OPERACIONES S.A. DE C.V.,HOLCIM MÉXICO OPERACIONES, S.A. DE C.V. [PLANTA ORIZABA]	Veracruz de Ignacio de la Llave	"18°51'39"""	IXTACZOQUITLAN	"97°2'28"""	Ixtaczoquitlán	CAP733008511	2550 	 	Parque Industrial Ixtac	327310	Cemento y Cal	Produccion de cemento	706346.4002	2086584.0071
Producción de Cal viva e Hidratada	Atributo no considerado en este año	2022	Avenida LA ESTACION S/N	74	55660	Colonia APAXCO DE OCAMPO	Fabricación de cal	Atributo no considerado en este año	Atributo no considerado en este año	CAL DE APASCO S.A. DE C.V., UNIDAD II	México	"19°58'36"""	APAXCO DE OCAMPO	"99°10'55"""	Apaxco	CAP741501011	S/N 	S/N 		327410	Cemento y Cal	Produccion de cal	480941.2304	2208913.6674
Fabricación de sello de hule automotriz	Atributo no considerado en este año	2022	Calle AV. MEXICO	6D	20300		Fabricación de otros productos de hule	Atributo no considerado en este año	Atributo no considerado en este año	COOPER STANDARD AUTOMOTIVE SERVICES, S. DE R.L. DE C.V.,	Aguascalientes	"22°2'3"""	SAN FRANCISCO DE LOS ROMO	"102°16'51"""	San Francisco de los Romo	CAS9M0101121	101 	 	PARQUE INDUSTRIAL SAN FRANCISCO	326290	Quimica	Fabricacion de articulos y productos de hule 	780660.7491	2439112.2851
CARGA Y DESCARGA DE BUQUES	Atributo no considerado en este año	2022	Calle FRANCISCO J. MUJICA	RN	60994	Zona Federal RECINTO PORTUARIO LAZARO CARDENAS	Servicios de carga y descarga para el transporte por agua	Atributo no considerado en este año	Atributo no considerado en este año	CORPORACIÓN DEL BALSAS S.A. DE C.V.,CORPORACIÓN DEL BALSAS, S.A. DE C.V.	Michoacán de Ocampo	"17°55'46"""	CIUDAD LAZARO CARDENAS	"102°11'8"""	Lázaro Cárdenas	CBAB01605211	1-N 	 		488320	Otros	Puertos	798152.2301	1984646.3846
FABRICACIÓN Y COMERCIALIZACIÓN DE CAL VIVA E HIDRATADA	Atributo no considerado en este año	2022	Calle REPÚBLICA DE NICARAGUA	74	42980	Colonia BARRIO DE BOVEDAS	Fabricación de cal	Atributo no considerado en este año	Atributo no considerado en este año	CALERAS BERTRAN, S.A. DE C.V.,BERTRÁN	Hidalgo	"20°0'51"""	ATOTONILCO DE TULA	"99°13'16"""	Atotonilco de Tula	CBE741301311	106 	S/N 		327410	Cemento y Cal	Produccion de cal	476869.1925	2213075.7593
PRODUCCIÓN DE CAL 	Atributo no considerado en este año	2022	Calle CARR. A BERNAL TOLIMAN	74	76649	Pueblo TOLIMAN	Fabricación de cal	Atributo no considerado en este año	Atributo no considerado en este año	CALERAS DE BERNAL, S.A. DE C.V.,CALERAS DE BERNAL, S.A DE C.V.	Querétaro	"20°46'21"""	TOLIMAN	"99°54'56"""	Tolimán	CBE742200711	KM 5 	 		327410	Cemento y Cal	Produccion de cal	404674.5961	2297245.6751
Fabricacion otros productos de papel carton y pasta celulosa o art de oficina	Atributo no considerado en este año	2022	Calle AVENIDA  TAMAULIPAS	57	87500		Fabricación de otros productos de cartón y papel	Atributo no considerado en este año	Atributo no considerado en este año	CARDINAL BRANDS FABRICACION S DE RL DE CV,CARDINAL BRANDS FABRICACION S. DE R.L. DE C.V. ESTABLECIMIENTO VALLE HERMOSO	Tamaulipas	"25°37'6"""	VALLE HERMOSO	"97°49'17"""	Valle Hermoso	CBF582804011	S/N 	 	PARQUE INDUSTRIAL VALLE HERMOSO 89	322299	Celulosa y papel	Produccion de carton y cartoncillo	618312.8802	2833966.3119
Reciclaje de solventes gastados	Atributo no considerado en este año	2022	Carretera CARR. CELAYA SALAMANCA	LU	36883		Manejo de residuos peligrosos y servicios de remediación a zonas dañadas por materiales o residuos peligrosos	Atributo no considerado en este año	Atributo no considerado en este año	CARBOQUÍMICA BLOCK, S. A. DE C. V.,	Guanajuato	"20°32'22"""	VALTIERRILLA	"101°6'45"""	Salamanca	CBLLU1102711	KM.85 	 	Corredor Industrial Salamanca-Celaya	562111	Tratamiento de residuos peligrosos	Tratamiento fisico de residuos peligrosos	279738.0104	2272604.695
HOSPEDAJE	Atributo no considerado en este año	2022	Calle CARRETERA CHANKANAAB	AY	77600	Ciudad CHANCANAAB	Hoteles sin otros servicios integrados	Atributo no considerado en este año	Atributo no considerado en este año	COZUMEL CARIBE SA DE CV,HOTEL  GRAND PARK ROYAL COZUMEL	Quintana Roo	"20°28'52"""	COZUMEL	"86°54'46"""	Cozumel	CCAAY2300111	KM 3.5 	 		721112	Otros	Servicios de Hotel	509080.3822	2264753.6913
ADMINISTRACION DE BIEN INMUEBLE DESTINADO A HOSPEDAJE.	Atributo no considerado en este año	2022	Boulevard KUKULKAN, MZ 51	AY	77500	Ninguno ZONA HOTELERA, ENTRE HOTELES HAYATT REGENCY Y FIESTA AMERICANA CORAL BEACH.	Hoteles con otros servicios integrados	Atributo no considerado en este año	Atributo no considerado en este año	CAMERON DEL CARIBE, S. DE R.L DE C.V.,HOTEL HYATT ZIVA CANCUN.	Quintana Roo	"21°8'10"""	CANCUN	"86°44'28"""	Benito Juárez	CCA2300500234	LT 7 	 		721111	Otros	Servicios de Hotel	526869.4101	2337241.0952
Producción de Cemento Hidraúlico	Atributo no considerado en este año	2022	Avenida COOPERATIVISMO	73	70380	Ciudad CRUZ AZUL	Fabricación de cemento y productos a base de cemento en plantas integradas	Atributo no considerado en este año	Atributo no considerado en este año	COOPERATIVA LA CRUZ AZUL, S.C.L.,	Oaxaca	"16°48'12"""	LAGUNAS	"95°4'7"""	El Barrio de la Soledad	CCA732005711	1 	 		327310	Cemento y Cal	Produccion de cemento	279512.367	1858953.9259
FABRICACIÓN Y COMERCIALIZACIÓN DE TODO TIPO DE METALES PARA LA INDUSTRIA AUTOMOTRIZ	Atributo no considerado en este año	2022	Avenida NORTE CUATRO	9J	38010	Colonia CIUDAD INDUSTRIAL	Fabricación de partes de sistemas de transmisión para vehículos automotores	Atributo no considerado en este año	Atributo no considerado en este año	CIE CELAYA SAPI DE CV,CIE CELAYA	Guanajuato	"20°32'16"""	CELAYA	"100°48'25"""	Celaya	CCEQF1100711	100 	 		336350	Automotriz	Produccion de partes para el sistema de transmision automotriz	311606.3439	2272047.4363
ALMACENAMIENTO Y DISTRIBUCION DE CONCENTRADOS Y BASE DE BEBIDAS	Atributo no considerado en este año	2022	Calzada  VALLEJO	ZU	07630	Colonia SAN JOSE DE LA ESCALERA	Almacenamiento con refrigeración	Atributo no considerado en este año	Atributo no considerado en este año	THE COCA COLA EXPORT CORPORATION SUCURSAL EN MEXICO,CENTRO DE DISTRIBUCIÓN THE COCA-COLA EXPORT CORPORATION SUCURSAL EN MÉXICO	Ciudad de México	"19°31'39"""	GUSTAVO A. MADERO	"99°10'9"""	Gustavo A. Madero	CCEZU0900511	1849 	 		493120	Otros	Almacen de materiales, productos y otros	482248.7995	2159214.051
