nra,estado,municipio
AGR5P1301011,Hidalgo,Atitalaquia
AGR5P1408311,Jalisco,Tala
AGR5P1503311,México,Ecatepec de Morelos
AGU0901700112,Ciudad de México,Venustiano Carranza
AGU1F1409811,Jalisco,San Pedro Tlaquepaque
AGU5E0901711,Ciudad de México,Venustiano Carranza
AGU7F1101711,Guanajuato,Irapuato
AGUL71409711,Jalisco,Tlajomulco de Zúñiga
AHAKE0900411,Ciudad de México,Cuajimalpa de Morelos
AHB1802000089,Nayarit,Bahía de Banderas
AHEKE2603012,Sonora,Hermosillo
AHEKE2604311,Sonora,Nogales
AHEQU1403911,Jalisco,Guadalajara
AHL6E2201111,Querétaro,El Marqués
AHL9M2201411,Querétaro,Querétaro
AHM520200311,Baja California,Tecate
AHM7F0501811,Coahuila de Zaragoza,Monclova
AHO5E0901611,Ciudad de México,Miguel Hidalgo
AHOSP3200711,Zacatecas,Concepción del Oro
AHS7X1900621,Nuevo León,Apodaca
AHSM91800111,Nayarit,Acaponeta
AHUEA1403921,Jalisco,Guadalajara
AHUTG2041311,Oaxaca,Santa María Huatulco
AHY1407000772,Jalisco,El Salto
AHY1503300374,México,Ecatepec de Morelos
AHY1605300265,Michoacán de Ocampo,Morelia
AIB2G1400211,Jalisco,Acatlán de Juárez
AIC0801900299,Chihuahua,Chihuahua
AIC1C0801911,Chihuahua,Chihuahua
AICL70901711,Ciudad de México,Venustiano Carranza
AIG5N1409811,Jalisco,San Pedro Tlaquepaque
AIH6D1510411,México,Tlalnepantla de Baz
AIJ1408300008,Jalisco,Tala
AIM210000005,Puebla,Puebla
AIM2201600336,Querétaro,San Juan del Río
AIM520200411,Baja California,Tijuana
AIM521502411,México,Cuautitlán
AIM7J0200211,Baja California,Mexicali
AIM9M0801911,Chihuahua,Chihuahua
AIM9M2111411,Puebla,Puebla
AIMQB2600211,Sonora,Agua Prieta
AIN1901200068,Nuevo León,Ciénega de Flores
AIN1Z0502811,Coahuila de Zaragoza,Sabinas
AIN232803211,Tamaulipas,Reynosa
AIN4N2802211,Tamaulipas,Matamoros
AIN7N1903911,Nuevo León,Monterrey
AIN9M1902611,Nuevo León,Monterrey
AINKE0900311,Ciudad de México,Coyoacán
AINMD1902611,Nuevo León,Guadalupe
AINNG0200211,Baja California,Mexicali
AIP3K2117411,Puebla,Teziutlán
AIP9M2802211,Tamaulipas,Matamoros
AIRLJ1409711,Jalisco,Tlajomulco de Zúñiga
AIS2802702755,Tamaulipas,Nuevo Laredo
AISMD2802711,Tamaulipas,Nuevo Laredo
AISRE2700411,Tabasco,Paraíso
AIV7X0200211,Baja California,Mexicali
AJA0900500338,Ciudad de México,Gustavo A. Madero
AJA5W0900511,Ciudad de México,Gustavo A. Madero
AJAEE0900311,Ciudad de México,Coyoacán
AJAEE0901411,Ciudad de México,Benito Juárez
AJEBT2107411,Puebla,Huejotzingo
AJN0803701097,Chihuahua,Juárez
AJU0803700310,Chihuahua,Juárez
AJU0803700383,Chihuahua,Juárez
AJU520803711,Chihuahua,Juárez
AJU910803711,Chihuahua,Juárez
AJU9M0803711,Chihuahua,Juárez
ALA2S2802711,Tamaulipas,Nuevo Laredo
ALA5T3200411,Ciudad de México,Benito Juárez
ALA5T3200412,Ciudad de México,Benito Juárez
ALAEE0503511,Coahuila de Zaragoza,Torreón
ALAEE0503521,Coahuila de Zaragoza,Torreón
ALC0502700173,Coahuila de Zaragoza,Ramos Arizpe
ALC0503003018,Coahuila de Zaragoza,Saltillo
ALC1900600067,Nuevo León,Apodaca
ALC7F1605211,Michoacán de Ocampo,Lázaro Cárdenas
ALC910803711,Chihuahua,Juárez
ALCLJ1306311,Hidalgo,Tepeji del Río de Ocampo
ALE7L0502711,Coahuila de Zaragoza,Ramos Arizpe
ALE7Q1505111,México,Lerma
ALELJ0900711,Ciudad de México,Iztapalapa
ALI1902600055,Nuevo León,Guadalupe
ALM0501800024,Coahuila de Zaragoza,Monclova
ALM0900300231,Ciudad de México,Coyoacán
ALM1510600742,México,Toluca
ALM1904100002,Nuevo León,Pesquería
