nra	pag_1	nra_comp	pag_2	similitud
AFMRP0500231	https://rnca.tamps.cinvestav.mx/verificacion/nra/nombresestablecimientos.php?nra=AFMRP0500231	AFMRP0500241	https://rnca.tamps.cinvestav.mx/verificacion/nra/nombresestablecimientos.php?nra=AFMRP0500241	0.9166666666666666
AFMRP0500231	https://rnca.tamps.cinvestav.mx/verificacion/nra/nombresestablecimientos.php?nra=AFMRP0500231	AFMRP0500261	https://rnca.tamps.cinvestav.mx/verificacion/nra/nombresestablecimientos.php?nra=AFMRP0500261	0.9166666666666666
AFMRP0500241	https://rnca.tamps.cinvestav.mx/verificacion/nra/nombresestablecimientos.php?nra=AFMRP0500241	AFMRP0500261	https://rnca.tamps.cinvestav.mx/verificacion/nra/nombresestablecimientos.php?nra=AFMRP0500261	0.9166666666666666
AIN9M1902611	https://rnca.tamps.cinvestav.mx/verificacion/nra/nombresestablecimientos.php?nra=AIN9M1902611	AINMD1902611	https://rnca.tamps.cinvestav.mx/verificacion/nra/nombresestablecimientos.php?nra=AINMD1902611	0.9166666666666666
AJU910803711	https://rnca.tamps.cinvestav.mx/verificacion/nra/nombresestablecimientos.php?nra=AJU910803711	AJU9M0803711	https://rnca.tamps.cinvestav.mx/verificacion/nra/nombresestablecimientos.php?nra=AJU9M0803711	0.9166666666666666
ALA5T3200411	https://rnca.tamps.cinvestav.mx/verificacion/nra/nombresestablecimientos.php?nra=ALA5T3200411	ALA5T3200412	https://rnca.tamps.cinvestav.mx/verificacion/nra/nombresestablecimientos.php?nra=ALA5T3200412	0.9166666666666666
ALAEE0503511	https://rnca.tamps.cinvestav.mx/verificacion/nra/nombresestablecimientos.php?nra=ALAEE0503511	ALAEE0503521	https://rnca.tamps.cinvestav.mx/verificacion/nra/nombresestablecimientos.php?nra=ALAEE0503521	0.9166666666666666
ALMKE0503511	https://rnca.tamps.cinvestav.mx/verificacion/nra/nombresestablecimientos.php?nra=ALMKE0503511	ALMKE0503512	https://rnca.tamps.cinvestav.mx/verificacion/nra/nombresestablecimientos.php?nra=ALMKE0503512	0.9166666666666666
AMD1000500122	https://rnca.tamps.cinvestav.mx/verificacion/nra/nombresestablecimientos.php?nra=AMD1000500122	AMD1000500123	https://rnca.tamps.cinvestav.mx/verificacion/nra/nombresestablecimientos.php?nra=AMD1000500123	0.9230769230769231
AMD1000500714	https://rnca.tamps.cinvestav.mx/verificacion/nra/nombresestablecimientos.php?nra=AMD1000500714	AMD1000500715	https://rnca.tamps.cinvestav.mx/verificacion/nra/nombresestablecimientos.php?nra=AMD1000500715	0.9230769230769231
AME0200400385	https://rnca.tamps.cinvestav.mx/verificacion/nra/nombresestablecimientos.php?nra=AME0200400385	AME0200400386	https://rnca.tamps.cinvestav.mx/verificacion/nra/nombresestablecimientos.php?nra=AME0200400386	0.9230769230769231
AME2802200064	https://rnca.tamps.cinvestav.mx/verificacion/nra/nombresestablecimientos.php?nra=AME2802200064	AME2802200094	https://rnca.tamps.cinvestav.mx/verificacion/nra/nombresestablecimientos.php?nra=AME2802200094	0.9230769230769231
AME460803711	https://rnca.tamps.cinvestav.mx/verificacion/nra/nombresestablecimientos.php?nra=AME460803711	AME560803711	https://rnca.tamps.cinvestav.mx/verificacion/nra/nombresestablecimientos.php?nra=AME560803711	0.9166666666666666
AME5T0900311	https://rnca.tamps.cinvestav.mx/verificacion/nra/nombresestablecimientos.php?nra=AME5T0900311	AME5T0901011	https://rnca.tamps.cinvestav.mx/verificacion/nra/nombresestablecimientos.php?nra=AME5T0901011	0.9166666666666666
AME5T0901011	https://rnca.tamps.cinvestav.mx/verificacion/nra/nombresestablecimientos.php?nra=AME5T0901011	AME5T0901211	https://rnca.tamps.cinvestav.mx/verificacion/nra/nombresestablecimientos.php?nra=AME5T0901211	0.9166666666666666
AME6E1510611	https://rnca.tamps.cinvestav.mx/verificacion/nra/nombresestablecimientos.php?nra=AME6E1510611	AME6E1510612	https://rnca.tamps.cinvestav.mx/verificacion/nra/nombresestablecimientos.php?nra=AME6E1510612	0.9166666666666666
AME860803711	https://rnca.tamps.cinvestav.mx/verificacion/nra/nombresestablecimientos.php?nra=AME860803711	AME860803721	https://rnca.tamps.cinvestav.mx/verificacion/nra/nombresestablecimientos.php?nra=AME860803721	0.9166666666666666
AME912402811	https://rnca.tamps.cinvestav.mx/verificacion/nra/nombresestablecimientos.php?nra=AME912402811	AME9G2402811	https://rnca.tamps.cinvestav.mx/verificacion/nra/nombresestablecimientos.php?nra=AME9G2402811	0.9166666666666666
AME912802211	https://rnca.tamps.cinvestav.mx/verificacion/nra/nombresestablecimientos.php?nra=AME912802211	AME9M2802211	https://rnca.tamps.cinvestav.mx/verificacion/nra/nombresestablecimientos.php?nra=AME9M2802211	0.9166666666666666
AME9G2201411	https://rnca.tamps.cinvestav.mx/verificacion/nra/nombresestablecimientos.php?nra=AME9G2201411	AME9M2201411	https://rnca.tamps.cinvestav.mx/verificacion/nra/nombresestablecimientos.php?nra=AME9M2201411	0.9166666666666666
AME9M2201111	https://rnca.tamps.cinvestav.mx/verificacion/nra/nombresestablecimientos.php?nra=AME9M2201111	AME9M2201411	https://rnca.tamps.cinvestav.mx/verificacion/nra/nombresestablecimientos.php?nra=AME9M2201411	0.9166666666666666
AME9M2201411	https://rnca.tamps.cinvestav.mx/verificacion/nra/nombresestablecimientos.php?nra=AME9M2201411	AME9M2201421	https://rnca.tamps.cinvestav.mx/verificacion/nra/nombresestablecimientos.php?nra=AME9M2201421	0.9166666666666666
AMEEA1510411	https://rnca.tamps.cinvestav.mx/verificacion/nra/nombresestablecimientos.php?nra=AMEEA1510411	AMEEE1510411	https://rnca.tamps.cinvestav.mx/verificacion/nra/nombresestablecimientos.php?nra=AMEEE1510411	0.9166666666666666
AMEEE1510411	https://rnca.tamps.cinvestav.mx/verificacion/nra/nombresestablecimientos.php?nra=AMEEE1510411	AMEEE1510412	https://rnca.tamps.cinvestav.mx/verificacion/nra/nombresestablecimientos.php?nra=AMEEE1510412	0.9166666666666666
AMEZU1510911	https://rnca.tamps.cinvestav.mx/verificacion/nra/nombresestablecimientos.php?nra=AMEZU1510911	AMEZU1510921	https://rnca.tamps.cinvestav.mx/verificacion/nra/nombresestablecimientos.php?nra=AMEZU1510921	0.9166666666666666
AMM711503911	https://rnca.tamps.cinvestav.mx/verificacion/nra/nombresestablecimientos.php?nra=AMM711503911	AMM7I1503911	https://rnca.tamps.cinvestav.mx/verificacion/nra/nombresestablecimientos.php?nra=AMM7I1503911	0.9166666666666666
AMOKE1903911	https://rnca.tamps.cinvestav.mx/verificacion/nra/nombresestablecimientos.php?nra=AMOKE1903911	AMOKE1903931	https://rnca.tamps.cinvestav.mx/verificacion/nra/nombresestablecimientos.php?nra=AMOKE1903931	0.9166666666666666
ANJ6I0803711	https://rnca.tamps.cinvestav.mx/verificacion/nra/nombresestablecimientos.php?nra=ANJ6I0803711	ANJAI0803711	https://rnca.tamps.cinvestav.mx/verificacion/nra/nombresestablecimientos.php?nra=ANJAI0803711	0.9166666666666666
ANJAI0803711	https://rnca.tamps.cinvestav.mx/verificacion/nra/nombresestablecimientos.php?nra=ANJAI0803711	ANJEA0803711	https://rnca.tamps.cinvestav.mx/verificacion/nra/nombresestablecimientos.php?nra=ANJEA0803711	0.9166666666666666
ANXQV1904811	https://rnca.tamps.cinvestav.mx/verificacion/nra/nombresestablecimientos.php?nra=ANXQV1904811	ANXQV1904812	https://rnca.tamps.cinvestav.mx/verificacion/nra/nombresestablecimientos.php?nra=ANXQV1904812	0.9166666666666666
AOB8L2601811	https://rnca.tamps.cinvestav.mx/verificacion/nra/nombresestablecimientos.php?nra=AOB8L2601811	AOB8V2601811	https://rnca.tamps.cinvestav.mx/verificacion/nra/nombresestablecimientos.php?nra=AOB8V2601811	0.9166666666666666
AOXND1510191	https://rnca.tamps.cinvestav.mx/verificacion/nra/nombresestablecimientos.php?nra=AOXND1510191	AOXND1510911	https://rnca.tamps.cinvestav.mx/verificacion/nra/nombresestablecimientos.php?nra=AOXND1510911	0.9166666666666666
AREKE1903911	https://rnca.tamps.cinvestav.mx/verificacion/nra/nombresestablecimientos.php?nra=AREKE1903911	AREKE1903921	https://rnca.tamps.cinvestav.mx/verificacion/nra/nombresestablecimientos.php?nra=AREKE1903921	0.9166666666666666
ARN911904611	https://rnca.tamps.cinvestav.mx/verificacion/nra/nombresestablecimientos.php?nra=ARN911904611	ARN911904612	https://rnca.tamps.cinvestav.mx/verificacion/nra/nombresestablecimientos.php?nra=ARN911904612	0.9166666666666666
ARN9M0706111	https://rnca.tamps.cinvestav.mx/verificacion/nra/nombresestablecimientos.php?nra=ARN9M0706111	ARN9M0710111	https://rnca.tamps.cinvestav.mx/verificacion/nra/nombresestablecimientos.php?nra=ARN9M0710111	0.9166666666666666
ARN9M0710111	https://rnca.tamps.cinvestav.mx/verificacion/nra/nombresestablecimientos.php?nra=ARN9M0710111	ARN9M0710811	https://rnca.tamps.cinvestav.mx/verificacion/nra/nombresestablecimientos.php?nra=ARN9M0710811	0.9166666666666666
ARN9M2401311	https://rnca.tamps.cinvestav.mx/verificacion/nra/nombresestablecimientos.php?nra=ARN9M2401311	ARN9M2401511	https://rnca.tamps.cinvestav.mx/verificacion/nra/nombresestablecimientos.php?nra=ARN9M2401511	0.9166666666666666
ARN9M2401511	https://rnca.tamps.cinvestav.mx/verificacion/nra/nombresestablecimientos.php?nra=ARN9M2401511	ARN9M2404511	https://rnca.tamps.cinvestav.mx/verificacion/nra/nombresestablecimientos.php?nra=ARN9M2404511	0.9166666666666666
AROLM0900711	https://rnca.tamps.cinvestav.mx/verificacion/nra/nombresestablecimientos.php?nra=AROLM0900711	AROLM0900712	https://rnca.tamps.cinvestav.mx/verificacion/nra/nombresestablecimientos.php?nra=AROLM0900712	0.9166666666666666
ASA0900500302	https://rnca.tamps.cinvestav.mx/verificacion/nra/nombresestablecimientos.php?nra=ASA0900500302	ASA0900500303	https://rnca.tamps.cinvestav.mx/verificacion/nra/nombresestablecimientos.php?nra=ASA0900500303	0.9230769230769231
ASA0900500302	https://rnca.tamps.cinvestav.mx/verificacion/nra/nombresestablecimientos.php?nra=ASA0900500302	ASA0900500305	https://rnca.tamps.cinvestav.mx/verificacion/nra/nombresestablecimientos.php?nra=ASA0900500305	0.9230769230769231
ASA0900500302	https://rnca.tamps.cinvestav.mx/verificacion/nra/nombresestablecimientos.php?nra=ASA0900500302	ASA0900500309	https://rnca.tamps.cinvestav.mx/verificacion/nra/nombresestablecimientos.php?nra=ASA0900500309	0.9230769230769231
ASA0900500303	https://rnca.tamps.cinvestav.mx/verificacion/nra/nombresestablecimientos.php?nra=ASA0900500303	ASA0900500305	https://rnca.tamps.cinvestav.mx/verificacion/nra/nombresestablecimientos.php?nra=ASA0900500305	0.9230769230769231
ASA0900500303	https://rnca.tamps.cinvestav.mx/verificacion/nra/nombresestablecimientos.php?nra=ASA0900500303	ASA0900500309	https://rnca.tamps.cinvestav.mx/verificacion/nra/nombresestablecimientos.php?nra=ASA0900500309	0.9230769230769231
ASA0900500305	https://rnca.tamps.cinvestav.mx/verificacion/nra/nombresestablecimientos.php?nra=ASA0900500305	ASA0900500309	https://rnca.tamps.cinvestav.mx/verificacion/nra/nombresestablecimientos.php?nra=ASA0900500309	0.9230769230769231
ASARP2802211	https://rnca.tamps.cinvestav.mx/verificacion/nra/nombresestablecimientos.php?nra=ASARP2802211	ASARP2802711	https://rnca.tamps.cinvestav.mx/verificacion/nra/nombresestablecimientos.php?nra=ASARP2802711	0.9166666666666666
ASL7T2402811	https://rnca.tamps.cinvestav.mx/verificacion/nra/nombresestablecimientos.php?nra=ASL7T2402811	ASL7T2402831	https://rnca.tamps.cinvestav.mx/verificacion/nra/nombresestablecimientos.php?nra=ASL7T2402831	0.9166666666666666
ASP5S2201411	https://rnca.tamps.cinvestav.mx/verificacion/nra/nombresestablecimientos.php?nra=ASP5S2201411	ASP5S2201421	https://rnca.tamps.cinvestav.mx/verificacion/nra/nombresestablecimientos.php?nra=ASP5S2201421	0.9166666666666666
ATEEE1903911	https://rnca.tamps.cinvestav.mx/verificacion/nra/nombresestablecimientos.php?nra=ATEEE1903911	ATEKE1903911	https://rnca.tamps.cinvestav.mx/verificacion/nra/nombresestablecimientos.php?nra=ATEKE1903911	0.9166666666666666
ATEKE1903911	https://rnca.tamps.cinvestav.mx/verificacion/nra/nombresestablecimientos.php?nra=ATEKE1903911	ATEKE1903912	https://rnca.tamps.cinvestav.mx/verificacion/nra/nombresestablecimientos.php?nra=ATEKE1903912	0.9166666666666666
ATOEE0801912	https://rnca.tamps.cinvestav.mx/verificacion/nra/nombresestablecimientos.php?nra=ATOEE0801912	ATOEE0801921	https://rnca.tamps.cinvestav.mx/verificacion/nra/nombresestablecimientos.php?nra=ATOEE0801921	0.9166666666666666
