cas	sustancia	grupo	iarc
74-82-8	Metano	Gases de Efecto Invernadero (GEI)	NC
72-20-8	Endrin	Compuestos Orgánicos Persistentes (COP)	3
92-52-4	Bifenilo	Hidrocarburos Aromáticos y Alifáticos	NC
95-50-1	1,2-Diclorobenceno	Sustancias Organohalogenadas	3
55-56-1	Clorhexidina		NC
105-39-5	Cloroacetato de etilo		NC
7439-97-6	Mercurio	Metales y sus Compuestos	3
107-13-1	Acrilonitrilo	Otras sustancias RETC	2B
PCDDs	Dioxinas	Compuestos Orgánicos Persistentes (COP)	NC
56-23-5	Tetracloruro de carbono	Sustancias Agotadoras de la Capa de Ozono	2B
76-14-2	Diclorotetrafluoroetano (CFC-114)	Sustancias Agotadoras de la Capa de Ozono	NC
10049-04-4	Dioxido de cloro	Otras sustancias RETC	NC
207-08-9	Benzo(k)fluoranteno		2B
72-55-9	Diclorodifenildicloroetileno (DDE)		NC
108-95-2	Fenol	Hidrocarburos Aromáticos y Alifáticos	3
75-25-2	Bromoformo	Sustancias Organohalogenadas	3
75-45-6	Clorodifluorometano (HCFC-22)	Sustancias Agotadoras de la Capa de Ozono	3
302-01-2	Hidracina	Otras sustancias RETC	2A
110-80-5	2-Etoxietanol (Termonoetilico de etilenglicol)	Otras sustancias RETC	NC
62-53-3	Anilina	Hidrocarburos Aromáticos y Alifáticos	2A
As	Arsénico (compuestos)	Metales y sus Compuestos	NC
56-55-3	Benzo(a)antraceno		2B
7758-98-7	Sulfato de cobre		NC
75-69-4	Triclorofluoroetano (CFC-11)	Sustancias Agotadoras de la Capa de Ozono	NC
1332-21-4	Asbesto	Otras sustancias RETC	1
7761-88-8	Nitrato de plata		NC
115-29-7	Endosulfan	Plaguicidas	NC
50-32-8	Benzo(a)pireno		1
10102-44-0	Bióxido de nitrógeno	Gases de Efecto Invernadero (GEI)	NC
98-82-8	Cumeno		2B
57-12-5	Cianuro inorgánico/orgánico	Otras sustancias RETC	NC
79-01-6	Tricloroetileno	Hidrocarburos Aromáticos y Alifáticos	1
S/C9	Perfluorocarbonos	Gases de Efecto Invernadero (GEI)	NC
84-74-2	Dibutilftalato	Hidrocarburos Aromáticos y Alifáticos	NC
108-88-3	Tolueno		3
50-00-0	Formaldehido	Otras sustancias RETC	1
193-39-5	Indeno(1,2,3-c,d)pireno		2B
8001-35-2	Toxafeno	Compuestos Orgánicos Persistentes (COP)	2B
S/C6	Plomo (compuestos)	Metales y sus Compuestos	NC
4098-71-9	Diisocianato de isoforona		NC
PCDFs	Furanos	Compuestos Orgánicos Persistentes (COP)	NC
107-02-8	Acroleina	Otras sustancias RETC	2A
79-06-1	Acrilamina	Otras sustancias RETC	2A
2921-88-2	Clorpirifos		NC
71-43-2	Benceno	Hidrocarburos Aromáticos y Alifáticos	1
76-44-8	Heptacloro	Compuestos Orgánicos Persistentes (COP)	2B
91-59-8	Beta-naftalina	Hidrocarburos Aromáticos y Alifáticos	1
75-09-2	Cloruro de metileno	Sustancias Organohalogenadas	2A
67-72-1	Hexacloroetano	Sustancias Organohalogenadas	2B
106-46-7	1,4-Diclorobenceno	Sustancias Organohalogenadas	2B
1330-20-7	Xileno (mezcla de isómeros)		3
123-91-1	Dioxano	Otras sustancias RETC	2B
2551-62-4	Hexafluoruro de azufre	Gases de Efecto Invernadero (GEI)	NC
