_id,cas,grupo,iarc,silentsprint,ssi_nombre,ssi_url,sustancia
65bd5c5f7d2fe1563734dfde,7761-88-8,,No aparece en el listado,No aparece en el listado,No aplica,No aplica,Nitrato de plata
65bd5c5f7d2fe1563734dfdf,115-29-7,Plaguicidas,No aparece en el listado,No aparece en el listado,No aplica,No aplica,Endosulfan
65bd5c5f7d2fe1563734dfe0,50-32-8,,1,Product of combustion,benzo[a]pyrene,http://sciencereview.silentspring.org/mamm_detail.cfm?cid=50-32-8,Benzo(a)pireno
65bd5c5f7d2fe1563734dfe1,10102-44-0,Gases de Efecto Invernadero (GEI),No aparece en el listado,No aparece en el listado,No aplica,No aplica,Bióxido de nitrógeno
65bd5c5f7d2fe1563734dfe2,98-82-8,,2B,No aparece en el listado,No aplica,No aplica,Cumeno
65bd5c5f7d2fe1563734dfe3,57-12-5,Otras sustancias RETC,No aparece en el listado,No aparece en el listado,No aplica,No aplica,Cianuro inorgánico/orgánico
65bd5c5f7d2fe1563734dfe4,79-01-6,Hidrocarburos Aromáticos y Alifáticos,1,No aparece en el listado,No aplica,No aplica,Tricloroetileno
65bd5c5f7d2fe1563734dfe5,S/C9,Gases de Efecto Invernadero (GEI),No aparece en el listado,No aparece en el listado,No aplica,No aplica,Perfluorocarbonos
65bd5c5f7d2fe1563734dfe6,84-74-2,Hidrocarburos Aromáticos y Alifáticos,No aparece en el listado,No aparece en el listado,No aplica,No aplica,Dibutilftalato
65bd5c5f7d2fe1563734dfe7,108-88-3,,3,No aparece en el listado,No aplica,No aplica,Tolueno
65bd5c5f7d2fe1563734dfe8,50-00-0,Otras sustancias RETC,1,No aparece en el listado,No aplica,No aplica,Formaldehido
65bd5c5f7d2fe1563734dfe9,193-39-5,,2B,No aparece en el listado,No aplica,No aplica,"Indeno(1,2,3-c,d)pireno"
65bd5c5f7d2fe1563734dfea,8001-35-2,Compuestos Orgánicos Persistentes (COP),2B,No aparece en el listado,No aplica,No aplica,Toxafeno
65bd5c5f7d2fe1563734dfeb,S/C6,Metales y sus Compuestos,No aparece en el listado,No aparece en el listado,No aplica,No aplica,Plomo (compuestos)
65bd5c5f7d2fe1563734dfec,4098-71-9,,No aparece en el listado,No aparece en el listado,No aplica,No aplica,Diisocianato de isoforona
65bd5c5f7d2fe1563734dfed,PCDFs,Compuestos Orgánicos Persistentes (COP),No aparece en el listado,No aparece en el listado,No aplica,No aplica,Furanos
65bd5c5f7d2fe1563734dfee,107-02-8,Otras sustancias RETC,2A,No aparece en el listado,No aplica,No aplica,Acroleina
65bd5c5f7d2fe1563734dfef,79-06-1,Otras sustancias RETC,2A,Industrial chemicals,acrylamide,http://sciencereview.silentspring.org/mamm_detail.cfm?cid=79-06-1,Acrilamina
65bd5c5f7d2fe1563734dff0,2921-88-2,,No aparece en el listado,No aparece en el listado,No aplica,No aplica,Clorpirifos
65bd5c5f7d2fe1563734dff1,71-43-2,Hidrocarburos Aromáticos y Alifáticos,1,Industrial chemicals,benzene,http://sciencereview.silentspring.org/mamm_detail.cfm?cid=71-43-2,Benceno
65bd5c5f7d2fe1563734dff2,76-44-8,Compuestos Orgánicos Persistentes (COP),2B,No aparece en el listado,No aplica,No aplica,Heptacloro
65bd5c5f7d2fe1563734dff3,91-59-8,Hidrocarburos Aromáticos y Alifáticos,1,No aparece en el listado,No aplica,No aplica,Beta-naftalina
65bd5c5f7d2fe1563734dff4,75-09-2,Sustancias Organohalogenadas,2A,Chlorinated solvent,methylene chloride ,http://sciencereview.silentspring.org/mamm_detail.cfm?cid=75-09-2,Cloruro de metileno
65bd5c5f7d2fe1563734dff5,67-72-1,Sustancias Organohalogenadas,2B,No aparece en el listado,No aplica,No aplica,Hexacloroetano
65bd5c5f7d2fe1563734dff6,106-46-7,Sustancias Organohalogenadas,2B,No aparece en el listado,No aplica,No aplica,"1,4-Diclorobenceno"
65bd5c5f7d2fe1563734dff7,1330-20-7,,3,No aparece en el listado,No aplica,No aplica,Xileno (mezcla de isómeros)
65bd5c5f7d2fe1563734dff8,123-91-1,Otras sustancias RETC,2B,Industrial chemicals,"1,4-dioxane",http://sciencereview.silentspring.org/mamm_detail.cfm?cid=123-91-1,Dioxano
65bd5c5f7d2fe1563734dff9,2551-62-4,Gases de Efecto Invernadero (GEI),No aparece en el listado,No aparece en el listado,No aplica,No aplica,Hexafluoruro de azufre
65bd5c5f7d2fe1563734dffa,7440-38-2,Metales y sus Compuestos,1,No aparece en el listado,No aplica,No aplica,Arsénico
65bd5c5f7d2fe1563734dffb,106-99-0,Otras sustancias RETC,1,Industrial chemicals,"1,3-butadiene",http://sciencereview.silentspring.org/mamm_detail.cfm?cid=106-99-0,Butadieno
65bd5c5f7d2fe1563734dffc,S/C8,Gases de Efecto Invernadero (GEI),No aparece en el listado,No aparece en el listado,No aplica,No aplica,Hidrofluorocarbonos
65bd5c5f7d2fe1563734dffd,1330-78-5,,No aparece en el listado,No aparece en el listado,No aplica,No aplica,Fosfato de tris(metilfenilo)
65bd5c5f7d2fe1563734dffe,108-05-4,,2B,No aparece en el listado,No aplica,No aplica,Acetato de vinilo
65bd5c5f7d2fe1563734dfff,72-43-5,Plaguicidas,3,No aparece en el listado,No aplica,No aplica,Metoxicloro
65bd5c5f7d2fe1563734e000,10024-97-2,Gases de Efecto Invernadero (GEI),No aparece en el listado,No aparece en el listado,No aplica,No aplica,Oxido nitroso
65bd5c5f7d2fe1563734e001,9016-87-9,Sustancias Organohalogenadas,3,No aparece en el listado,No aplica,No aplica,Diisocianato de difenilmetano polimérico
65bd5c5f7d2fe1563734e002,74-87-3,Sustancias Organohalogenadas,3,No aparece en el listado,No aplica,No aplica,Clorometano
65bd5c5f7d2fe1563734e003,75-71-8,Sustancias Agotadoras de la Capa de Ozono,No aparece en el listado,No aparece en el listado,No aplica,No aplica,Diclorodifluorometano (CFC-12)
