_id	aire	anio	cas	cve_ent	estado	iarc	nombre	nra	sector	sustancia	unidad	actprincipal	calle	colonia	coordenadaUTMX	coordenadaUTMY	cp	cve_mun	cveamb	descscian	entrec1	entrec2	latitudnorte	localidad	longitudoeste	municipio	numexterior	numinterior	parqueind	scian	subsector	lat	lng	calculada	enmunicipio	flat	flng
65298bc2bb426186d9061d27	4.15	2019	7440-38-2	8	CHIHUAHUA	1	GCC CEMENTO S.A DE C.V.,GCC CEMENTO S.A. DE C.V. PLANTA JUAREZ	GCE730803712	Cemento y Cal	Arsénico	kg/año	FABRICACION DE CEMENTO HIDRAULICO Y MEZCLAS SECAS PARA CONSTRUCCION	Calle KM. 5 AL PONIENTE EL AEROPUERTO FEDERAL	Colonia CEMENTERA	359785.4144	3503424.0836	32000	37	73	Fabricación de cemento y productos a base de cemento en plantas integradas	No disponible	No disponible	"31°39'27"""	JUAREZ	"106°28'44"""	Juarez	S/N 	 	No disponible	327310	Produccion de cemento	31.6575	-106.478888888889	1	1	31.6575	-106.478888888889
65298bc2bb426186d9061d28	571.95	2019	71-43-2	8	CHIHUAHUA	1	GCC CEMENTO S.A DE C.V.,GCC CEMENTO S.A. DE C.V. PLANTA JUAREZ	GCE730803712	Cemento y Cal	Benceno	kg/año	FABRICACION DE CEMENTO HIDRAULICO Y MEZCLAS SECAS PARA CONSTRUCCION	Calle KM. 5 AL PONIENTE EL AEROPUERTO FEDERAL	Colonia CEMENTERA	359785.4144	3503424.0836	32000	37	73	Fabricación de cemento y productos a base de cemento en plantas integradas	No disponible	No disponible	"31°39'27"""	JUAREZ	"106°28'44"""	Juarez	S/N 	 	No disponible	327310	Produccion de cemento	31.6575	-106.478888888889	1	1	31.6575	-106.478888888889
65298bc2bb426186d9061d2e	1.51	2019	7440-38-2	8	CHIHUAHUA	1	GCC CEMENTO S.A DE C.V.,GCC CEMENTO S.A. DE C.V. PLANTA SAMALAYUCA	GCE730803711	Cemento y Cal	Arsénico	kg/año	PRODUCCIÓN DE CEMENTO, MEZCLAS SECAS Y AGREGADOS PETRIOS	Carretera KM. 332 DE LA  PANAMERICANA	Colonia SAMALAYUCA	362261.643	3476446.292	32730	37	73	Fabricación de cemento y productos a base de cemento en plantas integradas	No disponible	No disponible	"31°24'52"""	JUAREZ	"106°26'56"""	Juarez	NA 	 	No disponible	327310	Produccion de cemento	31.4144444444444	-106.448888888889	1	1	31.4144444444444	-106.448888888889
65298bc2bb426186d9061d2f	3804.79	2019	71-43-2	8	CHIHUAHUA	1	GCC CEMENTO S.A DE C.V.,GCC CEMENTO S.A. DE C.V. PLANTA SAMALAYUCA	GCE730803711	Cemento y Cal	Benceno	kg/año	PRODUCCIÓN DE CEMENTO, MEZCLAS SECAS Y AGREGADOS PETRIOS	Carretera KM. 332 DE LA  PANAMERICANA	Colonia SAMALAYUCA	362261.643	3476446.292	32730	37	73	Fabricación de cemento y productos a base de cemento en plantas integradas	No disponible	No disponible	"31°24'52"""	JUAREZ	"106°26'56"""	Juarez	NA 	 	No disponible	327310	Produccion de cemento	31.4144444444444	-106.448888888889	1	1	31.4144444444444	-106.448888888889
65298bc2bb426186d9061d31	36.15	2019	7440-43-9	8	CHIHUAHUA	1	GCC CEMENTO S.A DE C.V.,GCC CEMENTO S.A. DE C.V. PLANTA SAMALAYUCA	GCE730803711	Cemento y Cal	Cadmio	kg/año	PRODUCCIÓN DE CEMENTO, MEZCLAS SECAS Y AGREGADOS PETRIOS	Carretera KM. 332 DE LA  PANAMERICANA	Colonia SAMALAYUCA	362261.643	3476446.292	32730	37	73	Fabricación de cemento y productos a base de cemento en plantas integradas	No disponible	No disponible	"31°24'52"""	JUAREZ	"106°26'56"""	Juarez	NA 	 	No disponible	327310	Produccion de cemento	31.4144444444444	-106.448888888889	1	1	31.4144444444444	-106.448888888889
65298bc2bb426186d9061d38	90.38	2019	7439-92-1	8	CHIHUAHUA	2B	GCC CEMENTO S.A DE C.V.,GCC CEMENTO S.A. DE C.V. PLANTA SAMALAYUCA	GCE730803711	Cemento y Cal	Plomo (polvos respirables, humos o vapores)	kg/año	PRODUCCIÓN DE CEMENTO, MEZCLAS SECAS Y AGREGADOS PETRIOS	Carretera KM. 332 DE LA  PANAMERICANA	Colonia SAMALAYUCA	362261.643	3476446.292	32730	37	73	Fabricación de cemento y productos a base de cemento en plantas integradas	No disponible	No disponible	"31°24'52"""	JUAREZ	"106°26'56"""	Juarez	NA 	 	No disponible	327310	Produccion de cemento	31.4144444444444	-106.448888888889	1	1	31.4144444444444	-106.448888888889
65298bc2bb426186d9062224	199.056	2019	7439-92-1	8	CHIHUAHUA	2B	KEY TRONIC JUAREZ, S.A. DE C.V.,, PLANTA 2	KTJ910803713	Equipos y articulos electronicos, electricos y domesticos	Plomo (polvos respirables, humos o vapores)	kg/año	PRODUCCION,MANUFACTURA Y ENSAMBLE DE PRODUCTOS ELECTRICOS,ELECTRONICOS Y DE CONSUMO FINAL	Calle DORADOS	No disponible	362119.4698	3506842.6244	32648	37	91	Otras industrias manufactureras	No disponible	No disponible	"31°41'19"""	JUAREZ	"106°27'17"""	Juarez	7851	 	PARQUE INDUSTRIAL GEMA	339999	Produccion de aparatos, equipos y/o accesorios electricos y/o electronicos	31.6886111111111	-106.454722222222	1	1	31.6886111111111	-106.454722222222
65298bc3bb426186d9062abe	35.949	2019	7439-92-1	8	CHIHUAHUA	2B	RIO BRAVO ELECTRICOS, S. DE R.L. DE C.V.,, PLANTA VII	RBE8V0803715	Automotriz	Plomo (polvos respirables, humos o vapores)	kg/año	Manufactura o Ensamble de Alambrados, Componentes Eléctricos, Electrónicos y Circuitos Impresos	Avenida RIO BRAVO	No disponible	372870.801	3503460.0337	32557	37	9M	Fabricación de equipo eléctrico y electrónico y sus partes para vehículos automotores	No disponible	No disponible	"31°39'33"""	JUAREZ	"106°20'27"""	Juarez	1420	 	RIO BRAVO	336320	Produccion de otras auto partes	31.6591666666667	-106.340833333333	1	1	31.6591666666667	-106.340833333333
65298bc4bb426186d9063c52	415.8	2013	79-01-6	8	CHIHUAHUA	1	CORDIS DE MEXICO S.A. DE C.V.	CME9U0803711	Articulos y productos compuestos de diferentes materiales	Tricloroetileno	kg/año	Fabricacion de Productos Medicos	Circuito Interior Norte	Parque Industrial Salvarcar	No disponible	No disponible	32575	37	1C	Fabricación de equipo no electrónico para uso médico, dental y para laboratorio.	No disponible	No disponible	"31°37'29"""	Juarez	"106°21'7"""	Juarez	1820	No disponible	Parque Industrial Salvarcar	339111	Produccion de equipos y/o articulos, medicos y/o quirurgicos	31.6247222222222	-106.351944444444	1	1	31.6247222222222	-106.351944444444
65298bc4bb426186d9063d31	0.027899397	2013	7440-43-9	8	CHIHUAHUA	1	COCLISA S.A. DE C.V. COMPLEJO OMEGA	COC9M0803711	Automotriz	Cadmio	kg/año	FABRICACION COMPONENTES PARA SISTEMA DE CALEFACCION Y AIRE ACONDICIONADO RAMO AUTOMOTRIZ	AV. DEL CHARRO	PARQUE INDUSTRIAL OMEGA	No disponible	No disponible	32310	37	9M	Fabricación de otras partes para vehículos automotrices.	No disponible	No disponible	"31°44'52"""	JUAREZ	"106°26'7"""	Juarez	1751	No disponible	PARQUE INDUSTRIAL OMEGA	336390	Produccion de otras auto partes	31.7477777777778	-106.435277777778	1	1	31.7477777777778	-106.435277777778
65298bc4bb426186d9063d33	0.017229661	2013	7440-43-9	8	CHIHUAHUA	1	COCLISA S.A DE C.V. PLANTA SAN LORENZO	COC9M0803713	Automotriz	Cadmio	kg/año	FABRICACION COMPONENTES PARA SISTEMA DE CALEFACCION Y AIRE ACONDICIONADO RAMO AUTOMOTRIZ	AV. LAGUNA TAMIAHUA	PARTIDO DOBLADO	No disponible	No disponible	32320	37	9M	Fabricación de otras partes para vehículos automotrices.	No disponible	No disponible	"31°44'0"""	JUAREZ	"106°25'1"""	Juarez	7325	No disponible	COMPLEJO INDUSTRIAL LAS FUENTES	336390	Produccion de otras auto partes	31.7333333333333	-106.416944444444	1	1	31.7333333333333	-106.416944444444
65298bc5bb426186d9064640	1.3215	2013	7440-43-9	8	CHIHUAHUA	1	GCC CEMENTO S.A. DE C.V. PLANTA SAMALAYUCA	GCE730803711	Cemento y Cal	Cadmio	kg/año	PRODUCCIÓN DE CEMENTO	Km. 332 Carretera 45	No disponible	No disponible	No disponible	32730	37	73	Fabricación de cemento y productos a base de cemento en plantas integradas.	No disponible	No disponible	"31°24'52"""	Ciudad Juárez	"106°26'57"""	Juarez	SN	No disponible	No disponible	327310	Produccion de cemento	31.4144444444444	-106.449166666667	1	1	31.4144444444444	-106.449166666667
65298bc5bb426186d9064641	3.1168	2013	7440-38-2	8	CHIHUAHUA	1	GCC CEMENTO S.A. DE C.V. PLANTA SAMALAYUCA	GCE730803711	Cemento y Cal	Arsénico	kg/año	PRODUCCIÓN DE CEMENTO	Km. 332 Carretera 45	No disponible	No disponible	No disponible	32730	37	73	Fabricación de cemento y productos a base de cemento en plantas integradas.	No disponible	No disponible	"31°24'52"""	Ciudad Juárez	"106°26'57"""	Juarez	SN	No disponible	No disponible	327310	Produccion de cemento	31.4144444444444	-106.449166666667	1	1	31.4144444444444	-106.449166666667
65298bc5bb426186d9064642	2393.7264	2013	71-43-2	8	CHIHUAHUA	1	GCC CEMENTO S.A. DE C.V. PLANTA SAMALAYUCA	GCE730803711	Cemento y Cal	Benceno	kg/año	PRODUCCIÓN DE CEMENTO	Km. 332 Carretera 45	No disponible	No disponible	No disponible	32730	37	73	Fabricación de cemento y productos a base de cemento en plantas integradas.	No disponible	No disponible	"31°24'52"""	Ciudad Juárez	"106°26'57"""	Juarez	SN	No disponible	No disponible	327310	Produccion de cemento	31.4144444444444	-106.449166666667	1	1	31.4144444444444	-106.449166666667
65298bc7bb426186d9065ff4	19.91407	2013	50-00-0	8	CHIHUAHUA	1	Pemex Refinacion Terminal de Almacenamiento y Reparto Cd. Juarez	PREM90803711	Petroleo y petroquimica	Formaldehido	kg/año	ALMACENAMIENTO Y DISTRIBUCIÓN DE PRODUCTOS DERIVADOS DEL PETRÓLEO; EXCLUYE DISTRIBUIDORES	CARRETERA A CASA GRANDES	GRANJAS DE SANTA ELENA	No disponible	No disponible	32690	37	M9	Transporte por ductos de productos refinados del petróleo.	No disponible	No disponible	"31°35'32"""	GRANJAS SANTA ELENA	"106°31'33"""	Juarez	KM.22.5	No disponible	PARQUE INDUSTRIAL	486910	Almacenamiento y distribucion de productos derivados del petroleo	31.5922222222222	-106.525833333333	1	1	31.5922222222222	-106.525833333333
65298bc7bb426186d9065ff5	0.004751872	2013	71-43-2	8	CHIHUAHUA	1	Pemex Refinacion Terminal de Almacenamiento y Reparto Cd. Juarez	PREM90803711	Petroleo y petroquimica	Benceno	kg/año	ALMACENAMIENTO Y DISTRIBUCIÓN DE PRODUCTOS DERIVADOS DEL PETRÓLEO; EXCLUYE DISTRIBUIDORES	CARRETERA A CASA GRANDES	GRANJAS DE SANTA ELENA	No disponible	No disponible	32690	37	M9	Transporte por ductos de productos refinados del petróleo.	No disponible	No disponible	"31°35'32"""	GRANJAS SANTA ELENA	"106°31'33"""	Juarez	KM.22.5	No disponible	PARQUE INDUSTRIAL	486910	Almacenamiento y distribucion de productos derivados del petroleo	31.5922222222222	-106.525833333333	1	1	31.5922222222222	-106.525833333333
65298bc7bb426186d9065ff7	0.003906417	2013	75-07-0	8	CHIHUAHUA	2B	Pemex Refinacion Terminal de Almacenamiento y Reparto Cd. Juarez	PREM90803711	Petroleo y petroquimica	Acetaldehido	kg/año	ALMACENAMIENTO Y DISTRIBUCIÓN DE PRODUCTOS DERIVADOS DEL PETRÓLEO; EXCLUYE DISTRIBUIDORES	CARRETERA A CASA GRANDES	GRANJAS DE SANTA ELENA	No disponible	No disponible	32690	37	M9	Transporte por ductos de productos refinados del petróleo.	No disponible	No disponible	"31°35'32"""	GRANJAS SANTA ELENA	"106°31'33"""	Juarez	KM.22.5	No disponible	PARQUE INDUSTRIAL	486910	Almacenamiento y distribucion de productos derivados del petroleo	31.5922222222222	-106.525833333333	1	1	31.5922222222222	-106.525833333333
65298bc7bb426186d9065ff8	0.000471112	2013	107-02-8	8	CHIHUAHUA	2A	Pemex Refinacion Terminal de Almacenamiento y Reparto Cd. Juarez	PREM90803711	Petroleo y petroquimica	Acroleina	kg/año	ALMACENAMIENTO Y DISTRIBUCIÓN DE PRODUCTOS DERIVADOS DEL PETRÓLEO; EXCLUYE DISTRIBUIDORES	CARRETERA A CASA GRANDES	GRANJAS DE SANTA ELENA	No disponible	No disponible	32690	37	M9	Transporte por ductos de productos refinados del petróleo.	No disponible	No disponible	"31°35'32"""	GRANJAS SANTA ELENA	"106°31'33"""	Juarez	KM.22.5	No disponible	PARQUE INDUSTRIAL	486910	Almacenamiento y distribucion de productos derivados del petroleo	31.5922222222222	-106.525833333333	1	1	31.5922222222222	-106.525833333333
65298bc7bb426186d906648a	31.5	2013	79-01-6	8	CHIHUAHUA	1	Raychem Juárez, S.A. de C.V.	RJU950803711	Equipos y articulos electronicos, electricos y domesticos	Tricloroetileno	kg/año	Ensamble y Moldeo de productos para Telecomunicaciones	Santiago Troncoso	Praderas del Sur	No disponible	No disponible	32575	37	91	Fabricación de componentes electrónicos.	No disponible	No disponible	"31°37'0"""	Juarez	"106°21'43"""	Juarez	331	No disponible	Fraccionamiento Praderas del Sur	334410	Produccion de aparatos, equipos y/o accesorios electricos y/o electronicos	31.6166666666667	-106.361944444444	1	1	31.6166666666667	-106.361944444444
