_id,actprincipal,aire,anio,calculada,calle,cas,colonia,coordenadaUTMX,coordenadaUTMY,cp,cve_ent,cve_mun,cveamb,descscian,enmunicipio,entrec1,entrec2,estado,flat,flng,iarc,lat,latitudnorte,lng,localidad,longitudoeste,municipio,nombre,nra,numexterior,numinterior,parqueind,scian,sector,subsector,sustancia,unidad
65298ba2bb426186d904b0aa,Fabricación de lavamanos de resina de poliester,9520,2018,1,Boulevard  HEROES DE INDEPENDENCIA,75-09-2,Colonia FIDEICOMISO EL FLORIDO,512381.5997,3590043.8052,22244,2,4,6E,Fabricación de otros productos de plástico con reforzamiento,1,No disponible,No disponible,BAJA CALIFORNIA,32.4472222222222,-116.868055555556,2A,32.4472222222222,"32°26'50""",-116.868055555556,TIJUANA,"116°52'5""",Tijuana,"RSI HOME PRODUCTS S. DE R.L. DE C.V.,",RHPMQ0200411,11402, ,No disponible,326198,Articulos y productos plasticos,Fabricacion de productos y articulos de plastico,Cloruro de metileno,kg/año
65298ba3bb426186d904b3d5,FABRICACIÓN  Y ENSAMBLE  DE CONDUCTORES ELÉCTRICOS Y ELECTRONICOS,839.54,2018,1,Calle AV. PRODUCCION,75-09-2,No disponible,503593.9527,3599065.4666,22425,2,4,91,Fabricación de componentes electrónicos,1,No disponible,No disponible,BAJA CALIFORNIA,32.5288888888889,-116.961666666667,2A,32.5288888888889,"32°31'44""",-116.961666666667,TIJUANA,"116°57'42""",Tijuana,"TYCO ELECTRONICS TECNOLOGIAS S. DE R. L. DE C. V.,",TET910200411,20, ,INTERNACIONAL TIJUANA,334410,"Equipos y articulos electronicos, electricos y domesticos","Produccion de aparatos, equipos y/o accesorios electricos y/o electronicos",Cloruro de metileno,kg/año
65298ba3bb426186d904b81b,PRODUCCION VENTA Y FABRICACION DE PRODUCTOS DE ESPUMA DE POLIURETANO,5427.35,2008,0,SARA,75-09-2,FRACC. YAMILLE,No disponible,No disponible,22600,2,4,6M,Fabricación de espumas y productos de uretano,1,No disponible,No disponible,BAJA CALIFORNIA,32.49165,-116.94488,2A,32.49165,32.49165,-116.94488,TIJUANA,-116.94488,Tijuana,CALINOR S.A. DE C.V.,CAL6M0200411,5,No disponible,No disponible,326150,Quimica,Fabricacion de productos de espumas uretanicas,Cloruro de metileno,kg/año
65298ba3bb426186d904ba75,PRODUCCION DE CEMENTO,3575,2008,0,ARROYO EL GALLO,71-43-2,CARLOS PACHECO,No disponible,No disponible,22890,2,1,73,Fabricación de cemento y productos a base de cemento en plantas integradas,1,No disponible,No disponible,BAJA CALIFORNIA,31.84726,-116.58299,1,31.84726,31.84726,-116.58299,No disponible,-116.58299,Ensenada,CEMEX MEXICO SA DE CV PLANTA ENSENADA,CMEK90200111,SN,No disponible,No disponible,327310,Cemento y Cal,Produccion de cemento,Benceno,kg/año
65298ba3bb426186d904ba77,PRODUCCION DE CEMENTO,2.68,2008,0,ARROYO EL GALLO,7440-38-2,CARLOS PACHECO,No disponible,No disponible,22890,2,1,73,Fabricación de cemento y productos a base de cemento en plantas integradas,1,No disponible,No disponible,BAJA CALIFORNIA,31.84726,-116.58299,1,31.84726,31.84726,-116.58299,No disponible,-116.58299,Ensenada,CEMEX MEXICO SA DE CV PLANTA ENSENADA,CMEK90200111,SN,No disponible,No disponible,327310,Cemento y Cal,Produccion de cemento,Arsénico,kg/año
65298ba3bb426186d904bc5b,MOLDEO DE CAJAS PARA CAMIONETAS TOYOTA TACOMA,19330,2008,1,BLVD. INSURGENTES,100-42-5,EL FLORIDO,No disponible,No disponible,22597,2,4,6E,Fabricación de autopartes de plástico con y sin reforzamiento,1,No disponible,No disponible,BAJA CALIFORNIA,32.4297222222222,-116.894722222222,2A,32.4297222222222,"32°25'47""",-116.894722222222,TIJUANA,"116°53'41""",Tijuana,CONTINENTAL STRUCTURAL PLASTICS DE TIJUANA S. DE R. L. DE C. V.,CSP520200411,20383,106 850,Parque Industrial,326192,Articulos y productos plasticos,Fabricacion de productos y articulos de plastico,Estireno (fenil etileno),kg/año
65298ba3bb426186d904bca2,FABRICACION DE LENTES OFTALMICOS DE RESINA PLASTICA,6424,2008,1,BOULEVARD INSURGENTES,75-09-2,PADRE KINO,No disponible,No disponible,22223,2,4,6E,Fabricación de artículos oftálmicos,1,No disponible,No disponible,BAJA CALIFORNIA,32.4816666666667,-116.923611111111,2A,32.4816666666667,"32°28'54""",-116.923611111111,No disponible,"116°55'25""",Tijuana,"CARL ZEISS VISION MANUFACTURA DE MEXICO, S. DE R.L. DE C.V.",CZV6E0200411,18600,No disponible,No disponible,339113,Articulos y productos plasticos,Fabricacion de productos y articulos de plastico,Cloruro de metileno,kg/año
65298ba4bb426186d904c50b,PRODUCCIÓN DE AUTOMÓVILES Y CAMIONES (INCLUYE TRACTOCAMIONES Y SIMILARES).,748,2008,1,Calzada Gustavo Vildósola Castro,100-42-5,Unidad Industrial PACCAR México,No disponible,No disponible,21385,2,2,9G,Fabricación de automóviles y camionetas,1,No disponible,No disponible,BAJA CALIFORNIA,32.6633333333333,-115.467777777778,2A,32.6633333333333,"32°39'48""",-115.467777777778,Mexicali,"115°28'4""",Mexicali,KENFABRICA S.A DE C.V,KEN9G0200211,2000,No disponible,Unidad Industrial PACCAR México,336110,Automotriz,"Produccion de automoviles, camiones, tractocamiones y similares",Estireno (fenil etileno),kg/año
65298ba4bb426186d904c9fc,Recubrimiento de todo tipo de piezas metálicas,15446,2008,1,Blvd. Insurgentes,79-01-6,Baja Maq,No disponible,No disponible,22225,2,4,8A,Recubrimientos y terminados metálicos,1,No disponible,No disponible,BAJA CALIFORNIA,32.4438888888889,-116.913333333333,1,32.4438888888889,"32°26'38""",-116.913333333333,Tijuana,"116°54'48""",Tijuana,PLATINADORA BAJA SA DE CV,PBA8A0200411,19814B,No disponible,Colonia Baja Maq Tijuana,332810,Quimica,Galvanoplastia,Tricloroetileno,kg/año
65298ba4bb426186d904ca39,ELAB. Y FAB. DE TINAS LABAVOS Y DEMAS MUEBLES DE BAÑO IMITACION MARMOL A BASE ESTIRENO,19169.395,2008,1,PARQUE MUNICIPAL,100-42-5,ARBOLEDA,0,0,22680,2,4,6E,Fabricación de otros productos de plástico sin reforzamiento,1,No disponible,No disponible,BAJA CALIFORNIA,32.4622222222222,-116.936388888889,2A,32.4622222222222,"32°27'44""",-116.936388888889,LA PRESA,"116°56'11""",Tijuana,PRODUCTOS Y DISEÑOS DE MARMOL S.A. DE C.V.,PDM9D0200412,7502,No disponible,No disponible,326199,Articulos y productos plasticos,Fabricacion de productos y articulos de plastico,Estireno (fenil etileno),kg/año
