nra,anio,cantidad_reportes
ACA3105000082,2020,1
ACA3105000082,2021,1
ACA3105000082,2022,1
ACA3105000083,2014,1
ACA3105000083,2015,1
ACA3105000083,2019,1
ACA3105000083,2022,1
ACA3105000380,2022,1
ACA3105900068,2021,1
ACA460801121,2013,1
ACA460801121,2015,1
ACA460801121,2017,1
ACA8A1502411,2009,1
ACA8A1502411,2010,1
ACA8A1502411,2011,1
ACA8A1502411,2012,1
ACA8A1502411,2013,1
ACA8A1502411,2015,1
ACA8A1502411,2016,1
ACA8A1502411,2017,1
ACA8A1502411,2019,1
ACA8A1502411,2020,1
ACA910900511,2014,1
ACA910900511,2019,1
ACA910900511,2020,1
ACA9M2402511,2006,1
ACA9M2402511,2007,1
ACABF2102111,2019,1
ACABF2102111,2020,1
ACABF2102111,2021,1
ACABF2102111,2022,1
ACAEE1512111,2013,1
ACAKE1700711,2017,1
ACAKE1700711,2018,1
ACAKE1700711,2019,1
ACAKE1700711,2020,1
ACAKE1903911,2010,1
ACAKE1903911,2011,1
ACAKE1903911,2012,1
ACAKE1903911,2017,1
ACAKE1903911,2018,1
ACAKE1903911,2019,1
ACAKE1903911,2020,1
ACAKE1903911,2021,1
ACAKE1903911,2022,1
ACAKE2300531,2010,1
ACAKE2300531,2012,1
ACAKE2300811,2010,1
ACAKE2300811,2011,1
ACAKE2300811,2012,1
ACARP2300511,2007,1
ACARP2300511,2008,1
ACARP2300511,2009,1
ACARP2300511,2010,1
ACARP2300511,2011,1
ACARP2300511,2012,1
ACARP2300511,2013,1
ACARP2300511,2014,1
ACARP2300511,2015,1
ACARP2300511,2016,1
ACARP2300511,2017,1
ACARP2300511,2018,1
ACARP2300511,2019,1
ACARP2300511,2020,1
ACARP2300511,2021,1
ACARP2300511,2022,1
ACAS73005311,2013,1
ACAS73005311,2014,1
ACAS73005311,2015,1
ACAS73005311,2016,1
ACAS73005311,2017,1
ACAS73005311,2018,1
ACAS73005311,2019,1
ACAS73005311,2020,1
ACAS73005311,2021,1
ACAS73005311,2022,1
ACC5U1901211,2005,1
ACC5U1901211,2006,1
ACC9M0801911,2010,1
ACCEE1903921,2011,1
ACCEE1903921,2012,1
ACCQA1409711,2007,1
ACCQA1409711,2009,1
ACCQA1409711,2011,1
ACCUB1802011,2014,1
ACCUB1802011,2016,1
ACCUB1802011,2017,1
ACCUB1802011,2018,1
ACCUB1802011,2021,1
ACCUB1802011,2022,1
ACD521403911,2007,1
ACE0901700011,2018,1
ACE0901700011,2020,1
ACE1I1904611,2004,1
ACE1I1904611,2005,1
ACE1I1904611,2007,1
ACE5H2402811,2005,1
ACE5H2402811,2006,1
ACE5H2402811,2007,1
ACE6E2603011,2006,1
ACE6E2603011,2007,1
ACE6E2603011,2008,1
ACE6E2603011,2009,1
ACE6E2603011,2010,1
ACE6E2603011,2011,1
ACE6E2603011,2012,1
ACE6S2901711,2019,1
ACE6S2901711,2020,1
ACE6S2901711,2021,1
ACE6S2901711,2022,1
ACE7F1104411,2006,1
ACE7F1104411,2007,1
ACE7F1104411,2008,1
ACE7F1104411,2009,1
ACE7F1104411,2010,1
ACE7F1104411,2011,1
ACE7F1104411,2012,1
ACE7F1104411,2013,1
ACE7F1104411,2014,1
ACE7F1104411,2015,1
ACE7F1104411,2016,1
ACE7F1104411,2019,1
ACE7F1104411,2020,1
ACE7F1104411,2021,1
ACE7T2201611,2004,1
ACE7T2201611,2005,1
