_id,latitudnorte,longitudoeste
65bec4d6675c397043f14ece,"19°11'12""","98°18'35"""
65bec4d6675c397043f14ecf,20.66496,-103.28937
65bec4d6675c397043f14ed0,"31°38'43""","-106°22'44"""
65bec4d6675c397043f14ed1,32.49165,-116.94488
65bec4d6675c397043f14ed2,19.61207,-99.18663
65bec4d6675c397043f14ed3,"-100°26'20""","25°40'3"""
65bec4d6675c397043f14ed4,"28°11'0""","105°30'0"""
65bec4d6675c397043f14ed5,25.79925,-97.77708
65bec4d6675c397043f14ed6,16.88611,-99.83025
65bec4d6675c397043f14ed7,"25°31'30""","100°56'45"""
65bec4d6675c397043f14ed8,"18°58'43""","103°52'18"""
65bec4d6675c397043f14ed9,"19°58'34""","99°10'53"""
65bec4d6675c397043f14eda,"17°40'40""","92°26'30"""
65bec4d6675c397043f14edb,"18°51'25""","97°01'14"""
65bec4d6675c397043f14edc,26.068,-98.37519
65bec4d6675c397043f14edd,20.62218,-100.43197
65bec4d6675c397043f14ede,19.32798,-99.14773
65bec4d6675c397043f14edf,"21°54'31""","102°18'11.64"""
65bec4d6675c397043f14ee0,25.5671,-100.92533
65bec4d6675c397043f14ee1,27.88171,-101.14565
65bec4d6675c397043f14ee2,"19°13'24""","98°23'53"""
65bec4d6675c397043f14ee3,19.62235,-99.18219
65bec4d6675c397043f14ee4,"20°26'12""","100°22'12"""
65bec4d6675c397043f14ee5,"19°56'43""","97°17'14"""
65bec4d6675c397043f14ee6,"20°0'0""","99°13'0"""
65bec4d6675c397043f14ee7,"25°40'40""","100°26'26"""
65bec4d6675c397043f14ee8,"101°6'36""","20°32'24"""
65bec4d6675c397043f14ee9,"19°57'24""","99°22'15"""
65bec4d6675c397043f14eea,"16°48'12""","95°4'9"""
65bec4d6675c397043f14eeb,"20°16'0""","99°14'25"""
65bec4d6675c397043f14eec,"19°21'53""","0.99°4'53"""
65bec4d6675c397043f14eed,"22°7'3""","100°55'36"""
65bec4d6675c397043f14eee,"19°13'56""","97°48'17"""
65bec4d6675c397043f14eef,"18°50'26""","97°6'28"""
65bec4d6675c397043f14ef0,32.57079,-116.63096
65bec4d6675c397043f14ef1,"31°36'48""","106°26'58"""
65bec4d6675c397043f14ef2,32.47656,-116.99676
65bec4d6675c397043f14ef3,"99°35'56""","19°17'13"""
65bec4d6675c397043f14ef4,"25°41'34""","-100°19'5"""
65bec4d6675c397043f14ef5,"25°46'14""","100°12'43"""
65bec4d6675c397043f14ef6,"27°0'43""","109°25'49"""
65bec4d6675c397043f14ef7,"32°33'54""","0.116°38'5"""
65bec4d6675c397043f14ef8,"22°10'57""","102°12'28"""
65bec4d6675c397043f14ef9,"22°21'0""","97°53'15"""
65bec4d6675c397043f14efa,19.47645,-99.10072
65bec4d6675c397043f14efb,"26°4'0""","98°17'0"""
65bec4d6675c397043f14efc,"20°53'3""","-103°50'28"""
65bec4d6675c397043f14efd,19.42724,-99.1803
65bec4d6675c397043f14efe,19.44313,-99.16816
65bec4d6675c397043f14eff,"32°43'0""","105°56'0"""
65bec4d6675c397043f14f00,"26°8'51""","98°20'31"""
65bec4d6675c397043f14f01,"18°0'28""","94°33'41"""
65bec4d6675c397043f14f02,27.47334,-99.50712
65bec4d6675c397043f14f03,"19°28'0""","99°11'00"""
65bec4d6675c397043f14f04,"19°3'54""","98°08'48"""
65bec4d6675c397043f14f05,"19°3'16""","0.98°9'28"""
65bec4d6675c397043f14f06,"20°31'0""","103°10'0"""
65bec4d6675c397043f14f07,"25°42'24.56""","100°16'9.94"""
65bec4d6675c397043f14f08,19.5843,-99.2608
65bec4d6675c397043f14f09,"19°6'24""","98°13'53"""
65bec4d6675c397043f14f0a,"19°29'8""","-99°9'10"""
65bec4d6675c397043f14f0b,"19°51'9""","-98°57'21"""
65bec4d6675c397043f14f0c,"28°27'42""","100°42'10"""
65bec4d6675c397043f14f0d,"21°50'0""","100°55'12"""
65bec4d6675c397043f14f0e,"27°29'9""","0.109°58'25"""
65bec4d6675c397043f14f0f,17.98391,-102.11246
65bec4d6675c397043f14f10,"24°48'54""","112°05'25"""
65bec4d6675c397043f14f11,"27°21'10""","112°16'16"""
65bec4d6675c397043f14f12,"27°58'19""","114°1'56"""
65bec4d6675c397043f14f13,"27°38'28""","113°24'46"""
65bec4d6675c397043f14f14,"22°5'15""","110°1'14"""
65bec4d6675c397043f14f15,"19°48'11""","90°36'58"""
65bec4d6675c397043f14f16,"24°43'20""","103°16'45"""
65bec4d6675c397043f14f17,"26°52'30""","101°25'40"""
65bec4d6675c397043f14f18,"27°42'25""","101°19'45"""
65bec4d6675c397043f14f19,"28°28'0""","100°41'0"""
65bec4d6675c397043f14f1a,"19°1'36""","104°19'14"""
65bec4d6675c397043f14f1b,"31°19'45""","106°20'11"""
65bec4d6675c397043f14f1c,"25°32'57""","-103°28'25"""
65bec4d6675c397043f14f1d,25.59342,-103.47525
65bec4d6675c397043f14f1e,25.55158,-103.47283
65bec4d6675c397043f14f1f,25.49329,-103.57161
65bec4d6675c397043f14f20,"20°34'0""","101°10'17"""
65bec4d6675c397043f14f21,"20°4'0""","99°17'0"""
65bec4d6675c397043f14f22,"19°37'0""","98°58'51"""
65bec4d6675c397043f14f23,"21°31'50""","104°57'15"""
65bec4d6675c397043f14f24,"21°50'32""","104°46'29"""
65bec4d6675c397043f14f25,"25°40'34.70""","100°24'22.68"""
65bec4d6675c397043f14f26,"25°36'47.67""","100°16'19.16"""
65bec4d6675c397043f14f27,"25°40'57.84""","100°16'39.12"""
65bec4d6675c397043f14f28,"25°41'53.02""","100°19'9.24"""
65bec4d6675c397043f14f29,"25º43'11.59""","100º6'5.51"""
65bec4d6675c397043f14f2a,"25°44'11""","-100°14'21"""
65bec4d6675c397043f14f2b,"19°7'15""","98°14'30"""
65bec4d6675c397043f14f2c,"20°28'27""","86°57'25"""
65bec4d6675c397043f14f2d,"18°32'39""","88°27'55"""
65bec4d6675c397043f14f2e,"23°11'39""","106°21'21"""
65bec4d6675c397043f14f2f,"27°13'13""","109°6'15"""
65bec4d6675c397043f14f30,"30°42'15""","112°10'5"""
65bec4d6675c397043f14f31,"27°56'7""","0.11°51'46"""
65bec4d6675c397043f14f32,"27°55'33""","110°51'58"""
65bec4d6675c397043f14f33,"31°15'23""","0.11°58'14"""
65bec4d6675c397043f14f34,"29°54'0""","112°42'0"""
65bec4d6675c397043f14f35,"22°26'10""","0.98°0'34"""
65bec4d6675c397043f14f36,"25°58'43""","98°3'56"""
65bec4d6675c397043f14f37,"21°8'5""","97°19'5"""
65bec4d6675c397043f14f38,"21°8'5""","97°19'5"""
65bec4d6675c397043f14f39,"20°55'32""","89°41'10"""
65bec4d6675c397043f14f3a,"20°58'50""","89°35'29"""
65bec4d6675c397043f14f3b,"20°43'5""","88°16'9"""
65bec4d6675c397043f14f3c,"25°1'15""","111°40'1"""
65bec4d6675c397043f14f3d,"24°15'2""","-110°18'1"""
65bec4d6675c397043f14f3e,"20°28'0""","100°6'34"""
65bec4d6675c397043f14f3f,"28°11'0""","10°53'0"""
65bec4d6675c397043f14f40,31.77702,-116.58603
65bec4d6675c397043f14f41,"32°19'29""","115°6'65"""
65bec4d6675c397043f14f42,"27°25'0""","112°29'0"""
65bec4d6675c397043f14f43,"28°26'45""","105°55'10"""
65bec4d6675c397043f14f44,"19°38'46""","97°26'15"""
65bec4d6675c397043f14f45,32.36898,-117.06567
65bec4d6675c397043f14f46,"25°33'20""","-103°28'24"""
65bec4d6675c397043f14f47,"22°35'18""","99°22'48"""
65bec4d6675c397043f14f48,"26°56'32""","108°22'12"""
65bec4d6675c397043f14f49,"19°25'29""","0.98°8'51"""
65bec4d6675c397043f14f4a,19.47184,-99.22086
65bec4d6675c397043f14f4b,"20°37'18""","-103°2'23"""
65bec4d6675c397043f14f4c,19.66401,-99.19381
65bec4d6675c397043f14f4d,"21°25'41""","104°27'14"""
65bec4d6675c397043f14f4e,31.61031,-106.37014
65bec4d6675c397043f14f4f,19.57786,-99.03407
65bec4d6675c397043f14f50,"19°39'43""","101°16'10"""
65bec4d6675c397043f14f51,"19°4'26""","98°15'27"""
65bec4d6675c397043f14f52,22.0956,-100.91379
65bec4d6675c397043f14f53,"21°28'32""","98°57'31"""
65bec4d6675c397043f14f54,"19°5'29""","102°26'31"""
65bec4d6675c397043f14f55,31.64628,-106.45234
65bec4d6675c397043f14f56,"25°30'30""","103°25'44"""
65bec4d6675c397043f14f57,"25°47'54""","97°46'32"""
65bec4d6675c397043f14f58,"18°26'36""","-97°22'8"""
65bec4d6675c397043f14f59,"19°21'12""","0.98°58'54"""
65bec4d6675c397043f14f5a,"25°53'31""","-97°30'0"""
65bec4d6675c397043f14f5b,"19°34'20""","98°34'30"""
65bec4d6675c397043f14f5c,"16°43'28""","93°1'42"""
65bec4d6675c397043f14f5d,24.04837,-104.66907
65bec4d6675c397043f14f5e,"20°21'45""","0.103°9'25"""
65bec4d6675c397043f14f5f,20.2039,-100.88325
65bec4d6675c397043f14f60,20.03706,-99.24366
65bec4d6675c397043f14f61,"25°29'9""","0.103°23'53"""
65bec4d6675c397043f14f62,"20°23'7""","99°41'4"""
65bec4d6675c397043f14f63,20.60334,-103.34302
65bec4d6675c397043f14f64,19.5753,-99.20186
65bec4d6675c397043f14f65,"25°41'52.96""","100°17'52.14"""
65bec4d6675c397043f14f66,"19°5'23""","97°57'52"""
65bec4d6675c397043f14f67,"21°59'3""","98°57'54"""
65bec4d6675c397043f14f68,"22°2'40""","98°52'7"""
65bec4d6675c397043f14f69,"28°55'0""","110°50'0"""
