actprincipal	actsemarnat	anio	calle	claveambiental	codigopostal	colonia	descscian	entrec1	entrec2	establecimiento	estado	latitudnorte	localidad	longitudoeste	municipio	nra	numexterior	numinterior	parqueindustrial	scian	sector	subsector	utmx	utmy
PRODUCCION DE OTRAS AUTOPARTES SI INCLUYE PROCESOS TERMICOS O DE FUNDICION	Atributo no considerado en este año	2016	Calle BLVD. INTERAMERICAN	9M	66600		Fabricación de otras partes para vehículos automotrices	Atributo no considerado en este año	Atributo no considerado en este año	TRUCAST DE MEXICO SA DE CV,TRUCAST	NUEVO LEON	"25°46'43"""	Ciudad Apodaca	"100°8'18"""	Apodaca	TME9M1900611	302		PARQUE INDUSTRIAL FINSA	336390	Automotriz	Produccion de otras auto partes	385855.5504	2851685.0619
Ensamble de componentes electronicos	Atributo no considerado en este año	2016	Calle 7 NORTE	91	22450	Colonia CD. INDUSTRIAL	Fabricación de componentes electrónicos	Atributo no considerado en este año	Atributo no considerado en este año	THERMOMETRICS MEXICO SA DE CV,	BAJA CALIFORNIA	"32°32'18"""	Tijuana	"116°55'7"""	Tijuana	TME950200411	110			334410	Equipos y articulos electronicos, electricos y domesticos	Produccion de aparatos, equipos y/o accesorios electricos y/o electronicos	507624.5475	3600138.9821
Arrendamiento de plataformas Marinas	Atributo no considerado en este año	2016	Avenida  ISLA DE TRIS	B2	24130	Colonia SAN MIGUEL	Alquiler de maquinaria y equipo para construcción, minería y actividades forestales	Atributo no considerado en este año	Atributo no considerado en este año	PERFORADORA ORO NEGRO, S. DE R.L. DE C.V.,PERFORADORA ORO NEGRO	CAMPECHE	"18°39'17"""	Ciudad del Carmen	"91°47'3"""	Carmen	TMI0400300277	EDIFICIO TAKIN	28-B		532411	Otros	Alquiler, renta o venta de equipos,aparatos, instrumentos  y otros	628216.6388	2063079.932
Arrendamiento de Plataformas de Perforación Marina	Atributo no considerado en este año	2016	Avenida  ISLA DE TRIS	B2	24157	Colonia PRIVADA SAN MIGUEL	Alquiler de maquinaria y equipo para construcción, minería y actividades forestales	Atributo no considerado en este año	Atributo no considerado en este año	PERFORADORA ORO NEGRO, S. DE R.L. DE C.V.,PERFORADORA ORO NEGRO PLATAFORMA AUTOELEVABLE PRIMUS	CAMPECHE	"18°39'18"""	Ciudad del Carmen	"91°46'57"""	Carmen	TMI0400300278	EDIFICIO TAKIN	28-B		532411	Otros	Alquiler, renta o venta de equipos,aparatos, instrumentos  y otros	628397.2613	2063110.624
ARRENDAMIENTO DE PLATAFORMAS MARINAS	Atributo no considerado en este año	2016	Avenida  ISLA DE TRIS	B2	24130	Colonia SAN MIGUEL	Alquiler de maquinaria y equipo para construcción, minería y actividades forestales	Atributo no considerado en este año	Atributo no considerado en este año	PERFORADORA ORO NEGRO, S. DE R.L. DE C.V.,PERFORADORA ORO NEGRO	CAMPECHE	"18°39'16"""	Ciudad del Carmen	"91°47'3"""	Carmen	TMI0400300279	EDIFICIO TAKIN	28-B		532411	Otros	Alquiler, renta o venta de equipos,aparatos, instrumentos  y otros	628215.7252	2063033.2622
Arrendamiento de Plataformas de Perforación Marinas	Atributo no considerado en este año	2016	Avenida  ISLA DE TRIS	B2	24130	Colonia SAN MIGUEL	Alquiler de maquinaria y equipo para construcción, minería y actividades forestales	Atributo no considerado en este año	Atributo no considerado en este año	PERFORADORA ORO NEGRO, S. DE R.L. DE C.V.,PERFORADORA ORO NEGRO PLATAFORMA AUTOELEVABLE DECUS	CAMPECHE	"18°39'19"""	Ciudad del Carmen	"91°46'56"""	Carmen	TMI0400300280	EDIFICIO TAKIN	28-B		532411	Otros	Alquiler, renta o venta de equipos,aparatos, instrumentos  y otros	628422.1937	2063128.7293
ARRENDAMIENTO DE PLATAFORMA DE PERFORACION MARINA	Atributo no considerado en este año	2016	Avenida ISLA DE TRIS	B2	24130	Colonia SAN MIGUEL	Alquiler de maquinaria y equipo para construcción, minería y actividades forestales	Atributo no considerado en este año	Atributo no considerado en este año	PERFORADORA ORO NEGRO, S. DE R.L. DE C.V.,PERFORADORA ORO NEGRO, S.DE R.L. DE C.V.	CAMPECHE	"18°39'21"""	Ciudad del Carmen	"91°46'53"""	Carmen	TMI0400300297	28	PB		532411	Otros	Alquiler, renta o venta de equipos,aparatos, instrumentos  y otros	628515.6811	2063188.0331
Fabricación de rines de acero para autos de pasajeros	Atributo no considerado en este año	2016	Avenida MINA DE GUADALUPE	QF	36275		Fabricación de piezas metálicas troqueladas para vehículos automotrices	Atributo no considerado en este año	Atributo no considerado en este año	TOPY MW MANUFACTURING MEXICO S.A. DE C.V.,	GUANAJUATO	"21°0'36"""	Silao de la Victoria	"101°28'34"""	Silao	TMM1103700049	798		PARQUE INDUSTRIAL SANTA FE AMPLIACION	336370	Automotriz	Produccion de auto partes troqueladas y estampadas	242615.7695	2325252.8966
CONVERSION Y EMPAQUE DE INSUMOS PARA EL HOGAR Y LA INDUSTRIA	Atributo no considerado en este año	2016	Avenida Comision Federal de Electricidad	5S	78395	Colonia Zona Industrial del Potosi	Fabricación de otros productos químicos	Atributo no considerado en este año	Atributo no considerado en este año	3M MEXICO SA DE CV,3M	SAN LUIS POTOSI	"22°4'18"""	San Luis Potosí	"100°53'13"""	San Luis Potosi	TMM522402811	520			325999	Quimica	Produccion de fibras y filamentos sinteticos y artificiales	305291.7542	2441980.5707
Manufactura de piezas forjadas y maquinadas para la industria Automotriz	Atributo no considerado en este año	2016	Calle CAMINO A SANTA AGUEDA	7T	72620	Ninguno	Fabricación de productos metálicos forjados y troquelados	Atributo no considerado en este año	Atributo no considerado en este año	THYSSENKRUPP METALÚRGICA DE MÉXICO, S.A. DE C.V.,	PUEBLA	"19°10'34"""	San Miguel Xoxtla	"98°18'13"""	San Miguel Xoxtla	TMM7T2113611	1			332110	Metalurgica (incluye la siderurgica)	Fundicion  y moldeo de piezas de hierro y acero	573190.0983	2120474.1862
