CLEE,Name,Stratum,Entity,Municipality,Locality,AGEB,rdate,NAICSCode,NAICSName,Latitude,Longitude
08047212221000021000000000U5,TAUNA,0 a 5 personas,Chihuahua,Moris,Moris,427,2010-07,212221,Minería de oro,28.15526653,-108.52742722
08047212221000031000000000U4,TAUNA,0 a 5 personas,Chihuahua,Moris,Moris,427,2010-07,212221,Minería de oro,28.15526653,-108.52742722
08047212221000041000000000U3,VIVIENDA EXTRACTORA DE METAL SIN NOMBRE,0 a 5 personas,Chihuahua,Moris,Moris,465,2010-07,212221,Minería de oro,28.15515604,-108.52905495
08047212221000051000000000U2,TAUNA,0 a 5 personas,Chihuahua,Moris,Moris,234,2010-07,212221,Minería de oro,28.15259604,-108.52787869
08047212221000073000000000U6,MINERA KGUY,11 a 30 personas,Chihuahua,Moris,El Pilar,395,2016-01,212221,Minería de oro,28.10665889,-108.6097231
08051212221000011000000000U8,"CIA MINERA DE CANDAMENA, S.A. DE C.V.",0 a 5 personas,Chihuahua,Ocampo,Candameña (La Capilla),256,2011-03,212221,Minería de oro,28.07060944,-108.29244028
08051212221000037000000000S3,"AGNICO EAGLE MÉXICO, S.A. DE C.V.",0 a 5 personas,Chihuahua,Ocampo,Pinos Altos [Compañía Minera],222,2016-01,212221,Minería de oro,28.27020167,-108.30366139
08051212221000041011000000S5,"AGNICO EAGLE MEXICO, S.A. DE C.V.",251 y más personas,Chihuahua,Ocampo,Cahuisori,237,2016-01,212222,Minería de plata,28.2133216,-108.2386656
08051212222000011001000000S6,UNIDAD CONCHEÑO,251 y más personas,Chihuahua,Ocampo,Concheño,190,2016-01,212222,Minería de plata,28.31263611,-108.22184611
08051212231000013000000000U3,"CIA MINERA LA CARIDAD, S.A. DE C.V.",0 a 5 personas,Chihuahua,Ocampo,Candameña (La Capilla),256,2011-03,212231,Minería de cobre,28.07060944,-108.29244028
08051213119000021011000000U2,OCAMPO MINING,251 y más personas,Chihuahua,Ocampo,Ocampo Mining,222,2019-04,212221,Minería de oro,28.19205305,-108.37482389
08056212231000015101000000U7,"MINERA RIO TINTO, S.A. DE C.V.",11 a 30 personas,Chihuahua,Chihuahua,Chihuahua,3179,2016-01,212231,Minería de cobre,28.64320104,-106.09101931
08059712111000011001000000U9,MINERA SAN FRANCISCO DEL ORO,251 y más personas,Chihuahua,San Francisco del Oro,San Francisco del Oro,146,2016-01,212222,Minería de plata,26.86564644,-105.8510489
08060212231000013000000000U4,MINERÍA DE COBRE,11 a 30 personas,Chihuahua,Santa Bárbara,Santiaguito,001A,2016-01,212231,Minería de cobre,26.87599528,-105.78508194
08060212232000027000002368S2,UNIDAD SANTA BARBARA,251 y más personas,Chihuahua,Santa Bárbara,Tahonas,151,2010-07,212232,Minería de plomo y zinc,26.82339667,-105.79676833
08060212232000037000002368S8,DIRECCIÓN DE MINAS INDUSTRIAL MINERA MÉXICO,251 y más personas,Chihuahua,Chihuahua,Chihuahua,3183,2014-12,212110,Minería de carbón mineral,28.65248023,-106.08865928
08062212222000017000000000U0,UNIDAD NAICA,251 y más personas,Chihuahua,Saucillo,Naica,423,2010-07,212232,Minería de plomo y zinc,27.85262427,-105.49599653
08065212221000016011000000U7,"MINERA RÍO TINTO, S.A. DE C.V.",251 y más personas,Chihuahua,Urique,Cieneguita Lluvia de Oro,444,2016-01,212232,Minería de plomo y zinc,27.13547693,-108.03015002
08065212231000017000055039M4,"BOLIVAR, CUSIHURIACHI Y MALPASO",251 y más personas,Chihuahua,Urique,Tierra Santa,444,2010-07,212231,Minería de cobre,27.09413571,-107.98903659
08065212231000021000055039S6,MINA DIABRAS,0 a 5 personas,Chihuahua,Urique,Cieneguita Lluvia de Oro,444,2022-11,212231,Minería de cobre,27.13022456,-108.0270851
08065213119000021011000000U2,EXMIN,251 y más personas,Chihuahua,Chihuahua,Chihuahua,3376,2019-04,212231,Minería de cobre,28.63006016,-106.08393472
08066212221000011000000000U6,MINERA FRESNILLO,0 a 5 personas,Chihuahua,Uruachi,Orisivo,367,2016-01,212221,Minería de oro,27.80876719,-108.120874
14038212110000011000000000U5,MINERA CARBONIFERA GAVILAN SA DE CV,11 a 30 personas,Coahuila de Zaragoza,Sabinas,Sabinas,451,2020-11,212110,Minería de carbón mineral,27.85467648,-101.13014845
