CLAVE	SITIO	ORGANISMO_DE_CUENCA	ESTADO	MUNICIPIO	ACUIFERO	SUBTIPO	LONGITUD	LATITUD	PERIODO	ALC_mg/L	CALIDAD_ALC	CONDUCT_mS/cm	CALIDAD_CONDUC	SDT_mg/L	CALIDAD_SDT_ra	CALIDAD_SDT_salin	FLUORUROS_mg/L	CALIDAD_FLUO	DUR_mg/L	CALIDAD_DUR	COLI_FEC_NMP/100_mL	CALIDAD_COLI_FEC	N_NO3_mg/L	CALIDAD_N_NO3	AS_TOT_mg/L	CALIDAD_AS	CD_TOT_mg/L	CALIDAD_CD	CR_TOT_mg/L	CALIDAD_CR	HG_TOT_mg/L	CALIDAD_HG	PB_TOT_mg/L	CALIDAD_PB	MN_TOT_mg/L	CALIDAD_MN	FE_TOT_mg/L	CALIDAD_FE	SEMAFORO	CONTAMINANTES	CUMPLE_CON_ALC	CUMPLE_CON_COND	CUMPLE_CON_SDT_ra	CUMPLE_CON_SDT_salin	CUMPLE_CON_FLUO	CUMPLE_CON_DUR	CUMPLE_CON_CF	CUMPLE_CON_NO3	CUMPLE_CON_AS	CUMPLE_CON_CD	CUMPLE_CON_CR	CUMPLE_CON_HG	CUMPLE_CON_PB	CUMPLE_CON_MN	CUMPLE_CON_FE	IARC
OCBAL2875	POZO MARISCALA DE JUAREZ	BALSAS	OAXACA	MARISCALA DE JUÁREZ	MARISCALA	POZO	-98.14664	17.85734	2022	292	Alta	842	Permisible para riego				0.588	Media	247	Potable - Dura	<1.1	Potable - Excelente	2.93	Potable - Excelente	<0.01	Potable - Excelente					<0.0005	Potable - Excelente			<0.0015	Potable - Excelente	<0.025	Potable - Excelente	Verde		SI	SI	ND	ND	SI	SI	SI	SI	SI	ND	ND	SI	ND	SI	SI	NC
OCBAL2877	POZO CALIHUALA (BALSAS)	BALSAS	OAXACA	CALIHUALÁ	TLAPA-HUAMUXTITLAN	POZO	-98.2704	17.53781	2022	166	Alta	614	Buena para riego	405	Excelente para riego	Potable - Dulce	<0.2	Baja	306.3	Potable - Dura	<1.1	Potable - Excelente	0.346	Potable - Excelente	<0.01	Potable - Excelente	<0.003	Potable - Excelente	0.007	Potable - Excelente	<0.0005	Potable - Excelente	<0.005	Potable - Excelente	0.023	Potable - Excelente	0.146	Potable - Excelente	Verde		SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	NC
OCBAL6155	POZO MIRADOR	BALSAS	MORELOS	YAUTEPEC	CUAUTLA-YAUTEPEC	POZO	-98.96954444	18.91304722	2022	187	Alta	135	Excelente para riego				0.27	Baja			<1.1	Potable - Excelente	2.11	Potable - Excelente	<0.01	Potable - Excelente					<0.0005	Potable - Excelente			<0.0015	Potable - Excelente	<0.025	Potable - Excelente	Verde		SI	SI	ND	ND	SI	ND	SI	SI	SI	ND	ND	SI	ND	SI	SI	NC
OCBAL6157	POZO EL ZARCO DE YAUTEPEC	BALSAS	MORELOS	YAUTEPEC	CUAUTLA-YAUTEPEC	POZO	-99.067367	18.919208	2022	197	Alta	700	Buena para riego				0.476	Media	297	Potable - Dura	75	Buena calidad			<0.01	Potable - Excelente					<0.0005	Potable - Excelente			<0.0015	Potable - Excelente	<0.025	Potable - Excelente	Verde		SI	SI	ND	ND	SI	SI	SI	ND	SI	ND	ND	SI	ND	SI	SI	NC
OCBAL6158	POZO 2 DE LA TOMA 3	BALSAS	MORELOS	YAUTEPEC	CUAUTLA-YAUTEPEC	POZO	-99.011152	18.899053	2022	275	Alta	874	Permisible para riego				0.732	Potable - Optima	359	Potable - Dura	<1.1	Potable - Excelente	3.22	Potable - Excelente	<0.01	Potable - Excelente					<0.0005	Potable - Excelente			<0.0015	Potable - Excelente	<0.025	Potable - Excelente	Verde		SI	SI	ND	ND	SI	SI	SI	SI	SI	ND	ND	SI	ND	SI	SI	NC
OCBAL6183	POZO NORIA SAN MARCOS ARTEAGA	BALSAS	OAXACA	SAN MARCOS ARTEAGA	HUAJUAPAN DE LEON	POZO NORIA	-97.859258	17.716749	2022	359	Alta	739	Buena para riego				0.429	Media	308	Potable - Dura	<1.1	Potable - Excelente	1.49	Potable - Excelente	<0.01	Potable - Excelente					<0.0005	Potable - Excelente			<0.0015	Potable - Excelente	<0.025	Potable - Excelente	Verde		SI	SI	ND	ND	SI	SI	SI	SI	SI	ND	ND	SI	ND	SI	SI	NC
OCBAL6184	POZO NORIA TAMAZULA	BALSAS	OAXACA	TAMAZULAPAN	TAMAZULAPAN	POZO NORIA	-97.584348	17.689281	2022	204	Alta	2285	Dudosa para riego				1.437	Potable - Optima	676	Muy dura e indeseable usos industrial y domestico	640000	Fuertemente contaminada	3.27	Potable - Excelente	<0.01	Potable - Excelente													Rojo	CONDUC,DT,CF,	SI	NO	ND	ND	SI	NO	NO	SI	SI	ND	ND	ND	ND	ND	ND	NC
OCBAL6185	POZO NORIA TLAXIACO II	BALSAS	OAXACA	HEROICA CIUDAD DE TLAXIACO	JUXTLAHUACA	POZO NORIA	-97.671763	17.278638	2022	281	Alta	668	Buena para riego				<0.2	Baja	315	Potable - Dura	39	Buena calidad	1.69	Potable - Excelente	<0.01	Potable - Excelente					<0.0005	Potable - Excelente			<0.0015	Potable - Excelente	0.305	Sin efectos en la salud - Puede dar color al agua	Amarillo	FE,	SI	SI	ND	ND	SI	SI	SI	SI	SI	ND	ND	SI	ND	SI	NO	NC
OCBAL6186	POZO TIPO NORIA ABAJO LAS CAMPANAS	BALSAS	OAXACA	HEROICA CIUDAD DE HUAJUAPAN DE LEÓN	HUAJUAPAN DE LEON	POZO NORIA	-97.778111	17.812971	2022	300	Alta	1414	Permisible para riego				0.891	Potable - Optima	526	Muy dura e indeseable usos industrial y domestico	11000	Fuertemente contaminada	9.75	Potable - Buena calidad	0.0203	Apta como FAAP					<0.0005	Potable - Excelente			0.269	Sin efectos en la salud - Puede dar color al agua	<0.025	Potable - Excelente	Rojo	DT,CF,MN,	SI	SI	ND	ND	SI	NO	NO	SI	SI	ND	ND	SI	ND	NO	SI	NC
OCCCN5217M1	POZO SAN AGUSTIN	CUENCAS CENTRALES DEL NORTE	DURANGO	MAPIMÍ	CEBALLOS	POZO	-104.32958	26.36715	2022			2027	Dudosa para riego	1497.7	Cultivos con manejo especial	Ligeramente salobres	0.86	Potable - Optima	496.5	Potable - Dura	<1.1	Potable - Excelente	10.93	Potable - Buena calidad	<0.01	Potable - Excelente	<0.003	Potable - Excelente	<0.005	Potable - Excelente	<0.0005	Potable - Excelente	<0.005	Potable - Excelente	<0.0015	Potable - Excelente	0.067	Potable - Excelente	Amarillo	CONDUC,	ND	NO	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	SI	NC
OCCCN5218M1	POZO LAS MARIAS	CUENCAS CENTRALES DEL NORTE	DURANGO	MAPIMÍ	CEBALLOS	POZO	-104.05814	26.55391	2022			6778	Indeseable para riego	6098	Indeseable para riego	Salobres	0.84	Potable - Optima	1387.7	Muy dura e indeseable usos industrial y domestico	24196	Fuertemente contaminada	30.707	No apta como FAAP	<0.01	Potable - Excelente	<0.003	Potable - Excelente	<0.005	Potable - Excelente	<0.0005	Potable - Excelente	<0.005	Potable - Excelente	0.06	Potable - Excelente	1.012	Sin efectos en la salud - Puede dar color al agua	Rojo	CONDUC,SDT_ra,SDT_salin,DT,CF,FE,NO3,	ND	NO	NO	NO	SI	NO	NO	NO	SI	SI	SI	SI	SI	SI	NO	NC
OCCCN5219M1	POZO 47 LAS PALMAS	CUENCAS CENTRALES DEL NORTE	DURANGO	MAPIMÍ	CEBALLOS	POZO	-104.18966	26.49838	2022	76.5	Media	2397	Dudosa para riego	1802	Cultivos con manejo especial	Ligeramente salobres	3	Alta	475.7	Potable - Dura	<1.1	Potable - Excelente	9.114	Potable - Buena calidad	0.3	No apta como FAAP	<0.003	Potable - Excelente	0.006	Potable - Excelente	<0.0005	Potable - Excelente	<0.005	Potable - Excelente	0.005	Potable - Excelente	0.312	Sin efectos en la salud - Puede dar color al agua	Rojo	CONDUC,FLUO,AS,FE,	SI	NO	SI	SI	NO	SI	SI	SI	NO	SI	SI	SI	SI	SI	NO	1
OCCCN5229M1	POZO 2 RANCHO LAS HABAS	CUENCAS CENTRALES DEL NORTE	DURANGO	LERDO	VICENTE SUAREZ	POZO	-103.8946	25.75665	2022	216.6	Alta	1154	Permisible para riego	942	Cultivos sensibles	Potable - Dulce	0.47	Media	580	Muy dura e indeseable usos industrial y domestico	<1.1	Potable - Excelente	19.161	No apta como FAAP	<0.01	Potable - Excelente	<0.003	Potable - Excelente	<0.005	Potable - Excelente	<0.0005	Potable - Excelente	<0.005	Potable - Excelente	<0.0015	Potable - Excelente	<0.025	Potable - Excelente	Rojo	DT,NO3,	SI	SI	SI	SI	SI	NO	SI	NO	SI	SI	SI	SI	SI	SI	SI	NC
