estado,municipio,cve_ent
Ciudad de México,Tlahuac,09
Ciudad de México,Tlahuac,09
Ciudad de México,Tlahuac,09
Ciudad de México,Tlahuac,09
Ciudad de México,Tlahuac,09
Ciudad de México,Tlahuac,09
Ciudad de México,Tlahuac,09
Ciudad de México,Tlahuac,09
Ciudad de México,Tlahuac,09
Ciudad de México,Tlahuac,09
Ciudad de México,Tlahuac,09
Ciudad de México,Tlahuac,09
Ciudad de México,Tlahuac,09
Ciudad de México,Tlahuac,09
Ciudad de México,Tlahuac,09
Ciudad de México,Tlahuac,09
Ciudad de México,Tlahuac,09
Ciudad de México,Tlahuac,09
Ciudad de México,Tlahuac,09
Ciudad de México,Tlahuac,09
Ciudad de México,Tlahuac,09
Ciudad de México,Tlahuac,09
Ciudad de México,Tlahuac,09
Ciudad de México,Tlahuac,09
Ciudad de México,Tlahuac,09
Ciudad de México,Tlahuac,09
Ciudad de México,Tlahuac,09
Ciudad de México,Tlahuac,09
Ciudad de México,Tlahuac,09
Ciudad de México,Tlahuac,09
Ciudad de México,Tlahuac,09
Ciudad de México,Tlahuac,09
Ciudad de México,Tlahuac,09
Durango,Gomez Palacio,10
Durango,Gomez Palacio,10
Durango,Gomez Palacio,10
Durango,Gomez Palacio,10
Durango,Gomez Palacio,10
Durango,Gomez Palacio,10
Durango,Gomez Palacio,10
Durango,Gomez Palacio,10
Durango,Gomez Palacio,10
Durango,Gomez Palacio,10
Durango,Gomez Palacio,10
Durango,Gomez Palacio,10
Durango,Gomez Palacio,10
Durango,Gomez Palacio,10
Durango,Gomez Palacio,10
Durango,Gomez Palacio,10
Durango,Gomez Palacio,10
Durango,Gomez Palacio,10
Durango,Gomez Palacio,10
Durango,Gomez Palacio,10
Durango,Gomez Palacio,10
Durango,Gomez Palacio,10
Durango,Gomez Palacio,10
Durango,Gomez Palacio,10
Durango,Gomez Palacio,10
Durango,Gomez Palacio,10
Durango,Gomez Palacio,10
Durango,Gomez Palacio,10
Durango,Gomez Palacio,10
Durango,Gomez Palacio,10
Durango,Gomez Palacio,10
Durango,Gomez Palacio,10
Durango,Gomez Palacio,10
Durango,Gomez Palacio,10
Durango,Gomez Palacio,10
Durango,Gomez Palacio,10
Durango,Gomez Palacio,10
Durango,Gomez Palacio,10
