nra,estado,municipio
AEQME2802211,TAMAULIPAS,Matamoros
AEQME2802211,Tamaulipas,Matamoros
AER1505100108,MEXICO,Lerma
AER1505100108,México,Lerma
AER5V1505111,MEXICO,Lerma
AER5V1505111,MEXICO,Toluca
AERM62700411,TABASCO,Centro
AES641510611,MEXICO,Toluca
AES8A0900511,DISTRITO FEDERAL,Gustavo A. Madero
AES8A1403911,JALISCO,Guadalajara
AESL70400311,CAMPECHE,Carmen
AET1605300706,MICHOACAN,Morelia
AET1605300706,Michoacán de Ocampo,Morelia
AEV7T2902511,TLAXCALA,San Pablo del Monte
AEVLJ2902511,TLAXCALA,San Pablo del Monte
AEX1102700127,GUANAJUATO,Salamanca
AEX910803711,CHIHUAHUA,Juarez
AFA5T0901411,DISTRITO FEDERAL,Benito Juarez
AFCLJ1304411,HIDALGO,Nopala de Villagran
AFE2G0710611,CHIAPAS,Venustiano Carranza
AFE2G0710611,Chiapas,Venustiano Carranza
AFF7T0200411,BAJA CALIFORNIA,Tijuana
AFI7T0502711,COAHUILA,Ramos Arizpe
AFI7T0502711,Coahuila de Zaragoza,Ramos Arizpe
AFM1103200008,GUANAJUATO,San Jose Iturbide
AFM910500212,COAHUILA,Acuna
AFM910500213,COAHUILA,Acuna
AFM910500214,COAHUILA,Acuna
AFM910500216,COAHUILA,Acuna
AFM910500221,COAHUILA,Acuna
AFM910500221,Coahuila de Zaragoza,Acuña
AFM910500222,COAHUILA,Acuna
AFM910502511,COAHUILA,Piedras Negras
AFM910503511,COAHUILA,Torreon
AFM910503521,COAHUILA,Torreon
AFM910803713,CHIHUAHUA,Juarez
AFM910803713,Chihuahua,Juárez
AFMRP0500231,COAHUILA,Acuna
AFMRP0500241,COAHUILA,Acuna
AFMRP0500261,COAHUILA,Acuna
AFO1Z1409711,JALISCO,Tlajomulco de Zuniga
AFOBJ2110811,PUEBLA,Oriental
AFOEA1403911,JALISCO,Guadalajara
AFOHF1403911,JALISCO,Guadalajara
AFR6A0803711,CHIHUAHUA,Juarez
AFRLN0803711,CHIHUAHUA,Juarez
AFS1I0500211,COAHUILA,Acuna
AFS1I0500211,Coahuila de Zaragoza,Acuña
AFUKE0901411,DISTRITO FEDERAL,Benito Juarez
AGA5K1306311,HIDALGO,Tepeji del Rio de Ocampo
AGA5K1510611,MEXICO,Toluca
AGC2405000022,SAN LUIS POTOSI,Villa de Reyes
AGD1404400004,JALISCO,Ixtlahuacan de los Membrillos
AGDMC1412011,JALISCO,Zapopan
AGDMC1412011,Jalisco,Zapopan
AGEKE0900211,Ciudad de México,Azcapotzalco
AGEKE0900211,DISTRITO FEDERAL,Azcapotzalco
AGEKE1304811,HIDALGO,Pachuca de Soto
AGM5B0803711,CHIHUAHUA,Juarez
AGM5P2201411,QUERETARO,Queretaro
AGMDA2201411,QUERETARO,Queretaro
AGOMC3105011,YUCATAN,Merida
AGR1904800062,NUEVO LEON,Santa Catarina
AGR1904800062,Nuevo León,Santa Catarina
AGR3105000622,YUCATAN,Merida
AGR3105000622,Yucatán,Mérida
AGR5H1904811,NUEVO LEON,Santa Catarina
AGR5N2201411,QUERETARO,Queretaro
AGR5N2201411,Querétaro,Querétaro
AGR5P0801911,CHIHUAHUA,Chihuahua
AGR5P0801911,Chihuahua,Chihuahua
AGR5P1301011,HIDALGO,Atitalaquia
AGR5P1301011,Hidalgo,Atitalaquia
AGR5P1408311,JALISCO,Tala
AGR5P1503311,MEXICO,Ecatepec de Morelos
AGU0901700112,DISTRITO FEDERAL,Venustiano Carranza
AGU1F1409811,JALISCO,Tlaquepaque
AGU5E0901711,DISTRITO FEDERAL,Venustiano Carranza
AGU7F1101711,GUANAJUATO,Irapuato
AGUL71409711,JALISCO,Tlajomulco de Zuniga
AGUL71409711,Jalisco,Tlajomulco de Zúñiga
AHAKE0900411,DISTRITO FEDERAL,Cuajimalpa de Morelos
AHB1802000089,Nayarit,Bahía de Banderas
AHEKE2603012,SONORA,Hermosillo
AHEKE2604311,SONORA,Nogales
AHEQU1403911,JALISCO,Guadalajara
AHL6E2201111,QUERETARO,El Marques
AHL6E2201111,Querétaro,El Marqués
AHL9M2201411,QUERETARO,Queretaro
AHM520200311,BAJA CALIFORNIA,Tecate
AHM7F0501811,COAHUILA,Monclova
AHM7F0501811,Coahuila de Zaragoza,Monclova
AHO5E0901611,DISTRITO FEDERAL,Miguel Hidalgo
AHOSP3200711,ZACATECAS,Concepcion del Oro
AHS7X1900621,NUEVO LEON,Apodaca
AHS7X1900621,Nuevo León,Apodaca
AHSM91800111,NAYARIT,Acaponeta
AHUEA1403921,JALISCO,Guadalajara
AHUTG2041311,OAXACA,Santa Maria Huatulco
AHY1407000772,JALISCO,El Salto
AHY1503300374,MEXICO,Ecatepec de Morelos
AHY1605300265,MICHOACAN,Morelia
AIB2G1400211,JALISCO,Acatlan de Juarez
AIB2G1400211,Jalisco,Acatlán de Juárez
AIC0801900299,CHIHUAHUA,Chihuahua
AIC1C0801911,CHIHUAHUA,Chihuahua
AICL70901711,DISTRITO FEDERAL,Venustiano Carranza
