_id,latitudnorte,longitudoeste
65be16a76925a840ab8f473b,"25°40'57.84""","100°16'39.12"""
65be16a76925a840ab8f473c,"25°41'53.02""","100°19'9.24"""
65be16a76925a840ab8f473d,"25º43'11.59""","100º6'5.51"""
65be16a76925a840ab8f473e,"25°44'11""","-100°14'21"""
65be16a76925a840ab8f473f,"19°7'15""","98°14'30"""
65be16a76925a840ab8f4740,"20°28'27""","86°57'25"""
65be16a76925a840ab8f4741,"18°32'39""","88°27'55"""
65be16a76925a840ab8f4742,"23°11'39""","106°21'21"""
65be16a76925a840ab8f4743,"27°13'13""","109°6'15"""
65be16a76925a840ab8f4744,"30°42'15""","112°10'5"""
65be16a76925a840ab8f4745,"27°56'7""","0.11°51'46"""
65be16a76925a840ab8f4746,"27°55'33""","110°51'58"""
65be16a76925a840ab8f4747,"31°15'23""","0.11°58'14"""
65be16a76925a840ab8f4748,"29°54'0""","112°42'0"""
65be16a76925a840ab8f4749,"22°26'10""","0.98°0'34"""
65be16a76925a840ab8f474a,"25°58'43""","98°3'56"""
65be16a76925a840ab8f474b,"21°8'5""","97°19'5"""
65be16a76925a840ab8f474c,"21°8'5""","97°19'5"""
65be16a76925a840ab8f474d,"20°55'32""","89°41'10"""
65be16a76925a840ab8f474e,"20°58'50""","89°35'29"""
65be16a76925a840ab8f474f,"20°43'5""","88°16'9"""
65be16a76925a840ab8f4750,"25°1'15""","111°40'1"""
65be16a76925a840ab8f4751,"24°15'2""","-110°18'1"""
65be16a76925a840ab8f4752,"20°28'0""","100°6'34"""
65be16a76925a840ab8f4753,"28°11'0""","10°53'0"""
65be16a76925a840ab8f4755,"32°19'29""","115°6'65"""
65be16a76925a840ab8f4756,"27°25'0""","112°29'0"""
65be16a76925a840ab8f4757,"28°26'45""","105°55'10"""
65be16a76925a840ab8f4758,"19°38'46""","97°26'15"""
65be16a76925a840ab8f475a,"25°33'20""","-103°28'24"""
65be16a76925a840ab8f475b,"22°35'18""","99°22'48"""
65be16a76925a840ab8f475c,"26°56'32""","108°22'12"""
65be16a76925a840ab8f475d,"19°25'29""","0.98°8'51"""
65be16a76925a840ab8f475f,"20°37'18""","-103°2'23"""
65be16a76925a840ab8f4761,"21°25'41""","104°27'14"""
65be16a76925a840ab8f4764,"19°39'43""","101°16'10"""
65be16a76925a840ab8f4765,"19°4'26""","98°15'27"""
65be16a76925a840ab8f4767,"21°28'32""","98°57'31"""
65be16a76925a840ab8f4768,"19°5'29""","102°26'31"""
65be16a76925a840ab8f476a,"25°30'30""","103°25'44"""
65be16a76925a840ab8f476b,"25°47'54""","97°46'32"""
65be16a76925a840ab8f476c,"18°26'36""","-97°22'8"""
65be16a76925a840ab8f476d,"19°21'12""","0.98°58'54"""
65be16a76925a840ab8f476e,"25°53'31""","-97°30'0"""
65be16a76925a840ab8f476f,"19°34'20""","98°34'30"""
65be16a76925a840ab8f4770,"16°43'28""","93°1'42"""
65be16a76925a840ab8f4772,"20°21'45""","0.103°9'25"""
65be16a76925a840ab8f4775,"25°29'9""","0.103°23'53"""
65be16a76925a840ab8f4776,"20°23'7""","99°41'4"""
65be16a76925a840ab8f4779,"25°41'52.96""","100°17'52.14"""
65be16a76925a840ab8f477a,"19°5'23""","97°57'52"""
65be16a76925a840ab8f477b,"21°59'3""","98°57'54"""
65be16a76925a840ab8f477c,"22°2'40""","98°52'7"""
65be16a76925a840ab8f477d,"28°55'0""","110°50'0"""
65be16a76925a840ab8f477e,"29°3'30""","110°44'35"""
65be16a76925a840ab8f477f,"20°56'33""","89°39'50"""
65be16a76925a840ab8f4781,"19°3'19""","98°12'52"""
65be16a76925a840ab8f4782,"25°43'1.76""","100°31'7.29"""
65be16a76925a840ab8f4786,"19°40'16""","103°22'25"""
65be16a76925a840ab8f4787,"25°50'16""","-97°26'26"""
65be16a76925a840ab8f4789,"18°54'42""","99°10'27"""
65be16a76925a840ab8f478a,"10°6'57""","80°21'56"""
65be16a76925a840ab8f478b,"19°1'40""","0.98°15'45"""
65be16a76925a840ab8f478c,"20°21'43""","99°12'28"""
65be16a76925a840ab8f478d,"20°39'38""","103°22'31"""
65be16a76925a840ab8f478e,"19°26'43""","100°28'15"""
65be16a76925a840ab8f478f,"25°50'40.86""","100°19'25.41"""
65be16a76925a840ab8f4791,"20°34'30""","100°33'35"""
65be16a76925a840ab8f4792,"27°27'21""","-109°53'16"""
65be16a76925a840ab8f4794,"18°47'53""","99°10'35"""
65be16a76925a840ab8f4795,"25º43'21""","100º15'04"""
65be16a76925a840ab8f4796,"19°35'37""","98°34'28"""
65be16a76925a840ab8f479b,"20°36'40""","100°20'2"""
65be16a76925a840ab8f479c,"20°33'40""","100°16'7"""
65be16a76925a840ab8f479d,"19°0'32""","103°45'57"""
65be16a76925a840ab8f479e,"20°6'55""","102°15'40"""
65be16a76925a840ab8f47a1,"20°37'20""","-103°22'16"""
65be16a76925a840ab8f47a2,"20°31'0""","100°55'0"""
65be16a76925a840ab8f47a4,"20°31'59""","100°27'33"""
65be16a76925a840ab8f47a5,"19°6'26""","97°52'45"""
65be16a76925a840ab8f47a8,"23°12'8""","106°24'47"""
65be16a76925a840ab8f47aa,"20°39'0""","103°18'0"""
65be16a76925a840ab8f47ab,"20°43'0""","103°23'0"""
65be16a76925a840ab8f47ac,"25º45'44.51""","100º32'50.63"""
65be16a76925a840ab8f47ad,"20°25'4""","0.99°58'51"""
65be16a76925a840ab8f47ae,"25°53'18""","-97°33'44"""
